EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : cloud cover in oktas
23-27 Q_CC : Quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, PULAWY (STAID: 1207).
Blended and updated with sources: 240715 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
240715,19790101,    7,    0
240715,19790102,    7,    0
240715,19790103,    8,    0
240715,19790104,    5,    0
240715,19790105,    8,    0
240715,19790106,    6,    0
240715,19790107,    7,    0
240715,19790108,    8,    0
240715,19790109,    8,    0
240715,19790110,    8,    0
240715,19790111,    6,    0
240715,19790112,    6,    0
240715,19790113,    5,    0
240715,19790114,    8,    0
240715,19790115,    8,    0
240715,19790116,    8,    0
240715,19790117,    8,    0
240715,19790118,    8,    0
240715,19790119,    8,    0
240715,19790120,    8,    0
240715,19790121,    5,    0
240715,19790122,    8,    0
240715,19790123,    5,    0
240715,19790124,    8,    0
240715,19790125,    5,    0
240715,19790126,    8,    0
240715,19790127,    8,    0
240715,19790128,    8,    0
240715,19790129,    8,    0
240715,19790130,    8,    0
240715,19790131,    8,    0
240715,19790201,    8,    0
240715,19790202,    8,    0
240715,19790203,    5,    0
240715,19790204,    5,    0
240715,19790205,    7,    0
240715,19790206,    7,    0
240715,19790207,    4,    0
240715,19790208,    8,    0
240715,19790209,    1,    0
240715,19790210,    3,    0
240715,19790211,    1,    0
240715,19790212,    8,    0
240715,19790213,    7,    0
240715,19790214,    8,    0
240715,19790215,    8,    0
240715,19790216,    5,    0
240715,19790217,    8,    0
240715,19790218,    8,    0
240715,19790219,    5,    0
240715,19790220,    5,    0
240715,19790221,    2,    0
240715,19790222,    2,    0
240715,19790223,    0,    0
240715,19790224,    1,    0
240715,19790225,    8,    0
240715,19790226,    5,    0
240715,19790227,    0,    0
240715,19790228,    0,    0
240715,19790301,    5,    0
240715,19790302,    5,    0
240715,19790303,    6,    0
240715,19790304,    7,    0
240715,19790305,    6,    0
240715,19790306,    5,    0
240715,19790307,    8,    0
240715,19790308,    8,    0
240715,19790309,    8,    0
240715,19790310,    7,    0
240715,19790311,    3,    0
240715,19790312,    6,    0
240715,19790313,    5,    0
240715,19790314,    7,    0
240715,19790315,    8,    0
240715,19790316,    8,    0
240715,19790317,    8,    0
240715,19790318,    8,    0
240715,19790319,    8,    0
240715,19790320,    5,    0
240715,19790321,    5,    0
240715,19790322,    5,    0
240715,19790323,    8,    0
240715,19790324,    4,    0
240715,19790325,    2,    0
240715,19790326,    8,    0
240715,19790327,    8,    0
240715,19790328,    8,    0
240715,19790329,    8,    0
240715,19790330,    4,    0
240715,19790331,    7,    0
240715,19790401,    8,    0
240715,19790402,    6,    0
240715,19790403,    3,    0
240715,19790404,    7,    0
240715,19790405,    8,    0
240715,19790406,    8,    0
240715,19790407,    8,    0
240715,19790408,    8,    0
240715,19790409,    5,    0
240715,19790410,    4,    0
240715,19790411,    5,    0
240715,19790412,    4,    0
240715,19790413,    2,    0
240715,19790414,    4,    0
240715,19790415,    5,    0
240715,19790416,    0,    0
240715,19790417,    6,    0
240715,19790418,    6,    0
240715,19790419,    7,    0
240715,19790420,    8,    0
240715,19790421,    8,    0
240715,19790422,    8,    0
240715,19790423,    7,    0
240715,19790424,    6,    0
240715,19790425,    8,    0
240715,19790426,    8,    0
240715,19790427,    8,    0
240715,19790428,    8,    0
240715,19790429,    8,    0
240715,19790430,    7,    0
240715,19790501,    6,    0
240715,19790502,    6,    0
240715,19790503,    8,    0
240715,19790504,    5,    0
240715,19790505,    4,    0
240715,19790506,    5,    0
240715,19790507,    8,    0
240715,19790508,    6,    0
240715,19790509,    8,    0
240715,19790510,    5,    0
240715,19790511,    3,    0
240715,19790512,    5,    0
240715,19790513,    4,    0
240715,19790514,    5,    0
240715,19790515,    2,    0
240715,19790516,    0,    0
240715,19790517,    3,    0
240715,19790518,    4,    0
240715,19790519,    3,    0
240715,19790520,    5,    0
240715,19790521,    8,    0
240715,19790522,    5,    0
240715,19790523,    7,    0
240715,19790524,    2,    0
240715,19790525,    6,    0
240715,19790526,    6,    0
240715,19790527,    1,    0
240715,19790528,    7,    0
240715,19790529,    4,    0
240715,19790530,    3,    0
240715,19790531,    2,    0
240715,19790601,    5,    0
240715,19790602,    3,    0
240715,19790603,    5,    0
240715,19790604,    0,    0
240715,19790605,    5,    0
240715,19790606,    1,    0
240715,19790607,    3,    0
240715,19790608,    7,    0
240715,19790609,    4,    0
240715,19790610,    5,    0
240715,19790611,    4,    0
240715,19790612,    6,    0
240715,19790613,    6,    0
240715,19790614,    6,    0
240715,19790615,    6,    0
240715,19790616,    8,    0
240715,19790617,    8,    0
240715,19790618,    8,    0
240715,19790619,    3,    0
240715,19790620,    4,    0
240715,19790621,    6,    0
240715,19790622,    8,    0
240715,19790623,    8,    0
240715,19790624,    2,    0
240715,19790625,    6,    0
240715,19790626,    7,    0
240715,19790627,    6,    0
240715,19790628,    8,    0
240715,19790629,    7,    0
240715,19790630,    5,    0
240715,19790701,    6,    0
240715,19790702,    4,    0
240715,19790703,    7,    0
240715,19790704,    7,    0
240715,19790705,    4,    0
240715,19790706,    7,    0
240715,19790707,    7,    0
240715,19790708,    8,    0
240715,19790709,    7,    0
240715,19790710,    8,    0
240715,19790711,    8,    0
240715,19790712,    8,    0
240715,19790713,    5,    0
240715,19790714,    3,    0
240715,19790715,    6,    0
240715,19790716,    8,    0
240715,19790717,    6,    0
240715,19790718,    6,    0
240715,19790719,    8,    0
240715,19790720,    8,    0
240715,19790721,    6,    0
240715,19790722,    6,    0
240715,19790723,    7,    0
240715,19790724,    6,    0
240715,19790725,    6,    0
240715,19790726,    8,    0
240715,19790727,    7,    0
240715,19790728,    4,    0
240715,19790729,    4,    0
240715,19790730,    8,    0
240715,19790731,    5,    0
240715,19790801,    6,    0
240715,19790802,    4,    0
240715,19790803,    6,    0
240715,19790804,    8,    0
240715,19790805,    6,    0
240715,19790806,    4,    0
240715,19790807,    2,    0
240715,19790808,    7,    0
240715,19790809,    8,    0
240715,19790810,    8,    0
240715,19790811,    8,    0
240715,19790812,    8,    0
240715,19790813,    8,    0
240715,19790814,    6,    0
240715,19790815,    2,    0
240715,19790816,    1,    0
240715,19790817,    2,    0
240715,19790818,    8,    0
240715,19790819,    8,    0
240715,19790820,    7,    0
240715,19790821,    6,    0
240715,19790822,    5,    0
240715,19790823,    6,    0
240715,19790824,    7,    0
240715,19790825,    8,    0
240715,19790826,    7,    0
240715,19790827,    7,    0
240715,19790828,    8,    0
240715,19790829,    8,    0
240715,19790830,    4,    0
240715,19790831,    2,    0
240715,19790901,    2,    0
240715,19790902,    2,    0
240715,19790903,    2,    0
240715,19790904,    8,    0
240715,19790905,    8,    0
240715,19790906,    6,    0
240715,19790907,    7,    0
240715,19790908,    8,    0
240715,19790909,    4,    0
240715,19790910,    7,    0
240715,19790911,    5,    0
240715,19790912,    5,    0
240715,19790913,    5,    0
240715,19790914,    8,    0
240715,19790915,    5,    0
240715,19790916,    5,    0
240715,19790917,    8,    0
240715,19790918,    8,    0
240715,19790919,    5,    0
240715,19790920,    4,    0
240715,19790921,    4,    0
240715,19790922,    3,    0
240715,19790923,    8,    0
240715,19790924,    8,    0
240715,19790925,    7,    0
240715,19790926,    4,    0
240715,19790927,    2,    0
240715,19790928,    5,    0
240715,19790929,    3,    0
240715,19790930,    5,    0
240715,19791001,    2,    0
240715,19791002,    4,    0
240715,19791003,    1,    0
240715,19791004,    6,    0
240715,19791005,    5,    0
240715,19791006,    0,    0
240715,19791007,    0,    0
240715,19791008,    0,    0
240715,19791009,    2,    0
240715,19791010,    0,    0
240715,19791011,    1,    0
240715,19791012,    0,    0
240715,19791013,    0,    0
240715,19791014,    3,    0
240715,19791015,    7,    0
240715,19791016,    3,    0
240715,19791017,    8,    0
240715,19791018,    8,    0
240715,19791019,    8,    0
240715,19791020,    8,    0
240715,19791021,    3,    0
240715,19791022,    6,    0
240715,19791023,    4,    0
240715,19791024,    4,    0
240715,19791025,    1,    0
240715,19791026,    1,    0
240715,19791027,    0,    0
240715,19791028,    6,    0
240715,19791029,    7,    0
240715,19791030,    8,    0
240715,19791031,    8,    0
240715,19791101,    3,    0
240715,19791102,    7,    0
240715,19791103,    1,    0
240715,19791104,    5,    0
240715,19791105,    8,    0
240715,19791106,    5,    0
240715,19791107,    8,    0
240715,19791108,    8,    0
240715,19791109,    8,    0
240715,19791110,    8,    0
240715,19791111,    8,    0
240715,19791112,    8,    0
240715,19791113,    8,    0
240715,19791114,    7,    0
240715,19791115,    7,    0
240715,19791116,    8,    0
240715,19791117,    8,    0
240715,19791118,    8,    0
240715,19791119,    8,    0
240715,19791120,    8,    0
240715,19791121,    8,    0
240715,19791122,    8,    0
240715,19791123,    8,    0
240715,19791124,    8,    0
240715,19791125,    8,    0
240715,19791126,    5,    0
240715,19791127,    8,    0
240715,19791128,    8,    0
240715,19791129,    8,    0
240715,19791130,    8,    0
240715,19791201,    8,    0
240715,19791202,    8,    0
240715,19791203,    0,    0
240715,19791204,    7,    0
240715,19791205,    7,    0
240715,19791206,    6,    0
240715,19791207,    8,    0
240715,19791208,    7,    0
240715,19791209,    8,    0
240715,19791210,    8,    0
240715,19791211,    3,    0
240715,19791212,    8,    0
240715,19791213,    1,    0
240715,19791214,    4,    0
240715,19791215,    8,    0
240715,19791216,    7,    0
240715,19791217,    8,    0
240715,19791218,    8,    0
240715,19791219,    4,    0
240715,19791220,    5,    0
240715,19791221,    8,    0
240715,19791222,    7,    0
240715,19791223,    8,    0
240715,19791224,    8,    0
240715,19791225,    8,    0
240715,19791226,    8,    0
240715,19791227,    8,    0
240715,19791228,    1,    0
240715,19791229,    6,    0
240715,19791230,    6,    0
240715,19791231,    7,    0
240715,19800101,    8,    0
240715,19800102,    8,    0
240715,19800103,    8,    0
240715,19800104,    8,    0
240715,19800105,    8,    0
240715,19800106,    2,    0
240715,19800107,    5,    0
240715,19800108,    8,    0
240715,19800109,    8,    0
240715,19800110,    6,    0
240715,19800111,    0,    0
240715,19800112,    8,    0
240715,19800113,    5,    0
240715,19800114,    1,    0
240715,19800115,    2,    0
240715,19800116,    5,    0
