EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : humidity in 1 %
23-27 Q_HU : Quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, KOZIENCE (STAID: 8959).
Blended and updated with sources: 240392 912488 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
240392,19790101,    0,    1
240392,19790102,   84,    0
240392,19790103,    0,    1
240392,19790104,   84,    0
240392,19790105,    0,    1
240392,19790106,   86,    0
240392,19790107,    0,    1
240392,19790108,   76,    0
240392,19790109,    0,    1
240392,19790110,   89,    0
240392,19790111,    0,    1
240392,19790112,   85,    0
240392,19790113,    0,    1
240392,19790114,   93,    0
240392,19790115,    0,    1
240392,19790116,   91,    0
240392,19790117,    0,    1
240392,19790118,   90,    0
240392,19790119,    0,    1
240392,19790120,   87,    0
240392,19790121,    0,    1
240392,19790122,   86,    0
240392,19790123,    0,    1
240392,19790124,   94,    0
240392,19790125,    0,    1
240392,19790126,   92,    0
240392,19790127,    0,    1
240392,19790128,   96,    0
240392,19790129,    0,    1
240392,19790130,   92,    0
240392,19790131,    0,    1
240392,19790201,   89,    0
240392,19790202,    0,    1
240392,19790203,   76,    0
240392,19790204,    0,    1
240392,19790205,   90,    0
240392,19790206,    0,    1
240392,19790207,   88,    0
240392,19790208,    0,    1
240392,19790209,   77,    0
240392,19790210,    0,    1
240392,19790211,   85,    0
240392,19790212,    0,    1
240392,19790213,   89,    0
240392,19790214,    0,    1
240392,19790215,   84,    0
240392,19790216,    0,    1
240392,19790217,   69,    0
240392,19790218,    0,    1
240392,19790219,   69,    0
240392,19790220,    0,    1
240392,19790221,   80,    0
240392,19790222,    0,    1
240392,19790223,   81,    0
240392,19790224,    0,    1
240392,19790225,   86,    0
240392,19790226,    0,    1
240392,19790227,   75,    0
240392,19790228,    0,    1
240392,19790301,   69,    0
240392,19790302,    0,    1
240392,19790303,   69,    0
240392,19790304,    0,    1
240392,19790305,   89,    0
240392,19790306,    0,    1
240392,19790307,   89,    0
240392,19790308,    0,    1
240392,19790309,   87,    0
240392,19790310,    0,    1
240392,19790311,   85,    0
240392,19790312,    0,    1
240392,19790313,   78,    0
240392,19790314,    0,    1
240392,19790315,   71,    0
240392,19790316,    0,    1
240392,19790317,   89,    0
240392,19790318,    0,    1
240392,19790319,   86,    0
240392,19790320,    0,    1
240392,19790321,   83,    0
240392,19790322,    0,    1
240392,19790323,   88,    0
240392,19790324,    0,    1
240392,19790325,   67,    0
240392,19790326,    0,    1
240392,19790327,   87,    0
240392,19790328,    0,    1
240392,19790329,   92,    0
240392,19790330,    0,    1
240392,19790331,   94,    0
240392,19790401,    0,    1
240392,19790402,   82,    0
240392,19790403,    0,    1
240392,19790404,   82,    0
240392,19790405,    0,    1
240392,19790406,   80,    0
240392,19790407,    0,    1
240392,19790408,   92,    0
240392,19790409,    0,    1
240392,19790410,   66,    0
240392,19790411,    0,    1
240392,19790412,   72,    0
240392,19790413,    0,    1
240392,19790414,   64,    0
240392,19790415,    0,    1
240392,19790416,   64,    0
240392,19790417,    0,    1
240392,19790418,   71,    0
240392,19790419,    0,    1
240392,19790420,   66,    0
240392,19790421,    0,    1
240392,19790422,   71,    0
240392,19790423,    0,    1
240392,19790424,   52,    0
240392,19790425,    0,    1
240392,19790426,   82,    0
240392,19790427,    0,    1
240392,19790428,   91,    0
240392,19790429,    0,    1
240392,19790430,   68,    0
240392,19790501,    0,    1
240392,19790502,   74,    0
240392,19790503,    0,    1
