EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : humidity in 1 %
23-27 Q_HU : Quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, PORONIN (STAID: 24903).
Blended and updated with sources: 237013 237217 237289 240635 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
237013,19790101,   67,    0
240635,19790102,   72,    0
237013,19790103,   75,    0
240635,19790104,   66,    0
237013,19790105,   83,    0
240635,19790106,   79,    0
237013,19790107,   45,    0
240635,19790108,   78,    0
237013,19790109,   54,    0
240635,19790110,   88,    0
237013,19790111,   62,    0
240635,19790112,   80,    0
237013,19790113,   67,    0
240635,19790114,   86,    0
237013,19790115,   87,    0
240635,19790116,   92,    0
237013,19790117,   72,    0
240635,19790118,   85,    0
237013,19790119,   81,    0
240635,19790120,   90,    0
237013,19790121,   87,    0
240635,19790122,   88,    0
237013,19790123,   92,    0
240635,19790124,   92,    0
237013,19790125,   93,    0
240635,19790126,   86,    0
237013,19790127,   74,    0
240635,19790128,   70,    0
237013,19790129,   95,    0
240635,19790130,   83,    0
237013,19790131,   77,    0
240635,19790201,   81,    0
237013,19790202,   69,    0
240635,19790203,   84,    0
237013,19790204,   55,    0
240635,19790205,   79,    0
237013,19790206,   85,    0
240635,19790207,   74,    0
237013,19790208,   65,    0
240635,19790209,   61,    0
237013,19790210,   62,    0
240635,19790211,   61,    0
237013,19790212,   78,    0
240635,19790213,   88,    0
237013,19790214,   73,    0
240635,19790215,   86,    0
237013,19790216,   85,    0
240635,19790217,   83,    0
237013,19790218,   75,    0
240635,19790219,   64,    0
237013,19790220,   55,    0
240635,19790221,   69,    0
237013,19790222,   43,    0
240635,19790223,   59,    0
237013,19790224,   52,    0
240635,19790225,   86,    0
237013,19790226,   73,    0
240635,19790227,   73,    0
237013,19790228,   53,    0
