EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, LESZNO (STAID: 923).
Blended and updated with sources: 106242 912418 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
106242,19790101, -181,    0
106242,19790102,  -97,    0
106242,19790103,  -93,    0
106242,19790104, -101,    0
106242,19790105,  -98,    0
106242,19790106, -118,    0
106242,19790107, -114,    0
106242,19790108,   -2,    0
106242,19790109,    2,    0
106242,19790110,   -9,    0
106242,19790111,  -26,    0
106242,19790112,  -16,    0
106242,19790113,  -17,    0
106242,19790114,  -43,    0
106242,19790115,  -21,    0
106242,19790116,  -12,    0
106242,19790117,  -28,    0
106242,19790118,  -45,    0
106242,19790119,  -41,    0
106242,19790120,  -52,    0
106242,19790121,  -86,    0
106242,19790122,  -65,    0
106242,19790123,  -46,    0
106242,19790124,    5,    0
106242,19790125,  -33,    0
106242,19790126,  -56,    0
106242,19790127,  -15,    0
106242,19790128,   -1,    0
106242,19790129,  -29,    0
106242,19790130,  -23,    0
106242,19790131,  -25,    0
106242,19790201,   10,    0
106242,19790202,   18,    0
106242,19790203,   -6,    0
106242,19790204,    3,    0
106242,19790205,  -43,    0
106242,19790206,  -45,    0
106242,19790207,  -33,    0
106242,19790208,  -13,    0
106242,19790209,  -36,    0
106242,19790210,  -68,    0
106242,19790211,  -95,    0
106242,19790212,  -36,    0
106242,19790213,  -37,    0
106242,19790214,  -63,    0
106242,19790215,  -91,    0
106242,19790216,  -79,    0
106242,19790217,  -82,    0
106242,19790218,  -26,    0
106242,19790219,  -18,    0
106242,19790220,  -37,    0
106242,19790221,  -53,    0
106242,19790222,  -27,    0
106242,19790223,  -42,    0
106242,19790224,  -38,    0
106242,19790225,  -36,    0
106242,19790226,  -85,    0
106242,19790227,  -63,    0
106242,19790228,  -41,    0
106242,19790301,  -14,    0
106242,19790302,    9,    0
106242,19790303,   47,    0
106242,19790304,   42,    0
106242,19790305,    6,    0
106242,19790306,   -8,    0
106242,19790307,   37,    0
106242,19790308,   18,    0
106242,19790309,   27,    0
106242,19790310,   19,    0
106242,19790311,   13,    0
106242,19790312,   36,    0
106242,19790313,   44,    0
106242,19790314,   24,    0
106242,19790315,    7,    0
106242,19790316,   51,    0
106242,19790317,   20,    0
106242,19790318,  -10,    0
106242,19790319,  -22,    0
106242,19790320,   -6,    0
106242,19790321,   51,    0
106242,19790322,   51,    0
106242,19790323,   27,    0
106242,19790324,   17,    0
106242,19790325,   45,    0
106242,19790326,  105,    0
106242,19790327,   90,    0
106242,19790328,   87,    0
106242,19790329,  105,    0
106242,19790330,   59,    0
106242,19790331,   40,    0
106242,19790401,   36,    0
106242,19790402,   65,    0
106242,19790403,   76,    0
106242,19790404,   71,    0
106242,19790405,   49,    0
106242,19790406,   44,    0
106242,19790407,   24,    0
106242,19790408,   34,    0
106242,19790409,   44,    0
106242,19790410,   70,    0
106242,19790411,   76,    0
106242,19790412,   85,    0
106242,19790413,  103,    0
106242,19790414,  115,    0
106242,19790415,   92,    0
106242,19790416,   44,    0
106242,19790417,   37,    0
106242,19790418,   30,    0
106242,19790419,   35,    0
106242,19790420,   67,    0
106242,19790421,   82,    0
106242,19790422,   96,    0
106242,19790423,   86,    0
106242,19790424,  115,    0
106242,19790425,   86,    0
106242,19790426,   79,    0
106242,19790427,   92,    0
106242,19790428,   74,    0
106242,19790429,   81,    0
106242,19790430,   71,    0
106242,19790501,   55,    0
106242,19790502,   71,    0
106242,19790503,   59,    0
106242,19790504,   67,    0
106242,19790505,   60,    0
106242,19790506,   66,    0
106242,19790507,   60,    0
106242,19790508,   88,    0
106242,19790509,  114,    0
106242,19790510,   98,    0
106242,19790511,   86,    0
106242,19790512,  116,    0
106242,19790513,  128,    0
106242,19790514,  133,    0
106242,19790515,  166,    0
106242,19790516,  186,    0
106242,19790517,  210,    0
106242,19790518,  199,    0
106242,19790519,  184,    0
106242,19790520,  185,    0
106242,19790521,  213,    0
106242,19790522,  182,    0
106242,19790523,  208,    0
106242,19790524,  229,    0
106242,19790525,  142,    0
106242,19790526,  167,    0
106242,19790527,  202,    0
106242,19790528,  157,    0
106242,19790529,  168,    0
106242,19790530,  198,    0
106242,19790531,  240,    0
106242,19790601,  249,    0
106242,19790602,  251,    0
106242,19790603,  248,    0
106242,19790604,  234,    0
106242,19790605,  221,    0
106242,19790606,  216,    0
106242,19790607,  204,    0
106242,19790608,  164,    0
106242,19790609,  148,    0
106242,19790610,  146,    0
106242,19790611,  186,    0
106242,19790612,  217,    0
106242,19790613,  190,    0
106242,19790614,  153,    0
106242,19790615,  177,    0
106242,19790616,  144,    0
106242,19790617,  161,    0
106242,19790618,  149,    0
106242,19790619,  178,    0
106242,19790620,  186,    0
106242,19790621,  192,    0
106242,19790622,  178,    0
106242,19790623,  186,    0
106242,19790624,  226,    0
106242,19790625,  201,    0
106242,19790626,  217,    0
106242,19790627,  210,    0
106242,19790628,  180,    0
106242,19790629,  190,    0
106242,19790630,  158,    0
106242,19790701,  133,    0
106242,19790702,  121,    0
106242,19790703,  128,    0
106242,19790704,  150,    0
106242,19790705,  156,    0
106242,19790706,  157,    0
106242,19790707,  149,    0
106242,19790708,  142,    0
106242,19790709,  138,    0
106242,19790710,  136,    0
106242,19790711,  130,    0
106242,19790712,  171,    0
106242,19790713,  180,    0
106242,19790714,  181,    0
106242,19790715,  160,    0
106242,19790716,  124,    0
106242,19790717,  126,    0
106242,19790718,  143,    0
106242,19790719,  175,    0
106242,19790720,  154,    0
106242,19790721,  163,    0
106242,19790722,  136,    0
106242,19790723,  136,    0
106242,19790724,  126,    0
106242,19790725,  143,    0
106242,19790726,  146,    0
106242,19790727,  152,    0
106242,19790728,  153,    0
106242,19790729,  180,    0
106242,19790730,  178,    0
106242,19790731,  194,    0
106242,19790801,  194,    0
106242,19790802,  210,    0
106242,19790803,  205,    0
106242,19790804,  172,    0
106242,19790805,  154,    0
106242,19790806,  144,    0
106242,19790807,  183,    0
106242,19790808,  206,    0
106242,19790809,  185,    0
106242,19790810,  166,    0
106242,19790811,  149,    0
106242,19790812,  144,    0
106242,19790813,  143,    0
106242,19790814,  162,    0
106242,19790815,  213,    0
106242,19790816,  229,    0
106242,19790817,  222,    0
106242,19790818,  203,    0
106242,19790819,  172,    0
106242,19790820,  163,    0
106242,19790821,  171,    0
106242,19790822,  161,    0
106242,19790823,  179,    0
106242,19790824,  163,    0
106242,19790825,  146,    0
106242,19790826,  133,    0
106242,19790827,  134,    0
106242,19790828,  129,    0
106242,19790829,  123,    0
106242,19790830,  163,    0
106242,19790831,  165,    0
106242,19790901,  183,    0
106242,19790902,  186,    0
106242,19790903,  178,    0
106242,19790904,  145,    0
106242,19790905,  124,    0
106242,19790906,  127,    0
106242,19790907,  161,    0
106242,19790908,  154,    0
106242,19790909,  164,    0
106242,19790910,  155,    0
106242,19790911,  154,    0
106242,19790912,  141,    0
106242,19790913,  156,    0
106242,19790914,  142,    0
106242,19790915,   96,    0
106242,19790916,   77,    0
106242,19790917,  115,    0
106242,19790918,  163,    0
106242,19790919,  180,    0
106242,19790920,  183,    0
106242,19790921,  136,    0
106242,19790922,  107,    0
106242,19790923,  101,    0
106242,19790924,   88,    0
106242,19790925,   99,    0
106242,19790926,  104,    0
106242,19790927,  130,    0
106242,19790928,  114,    0
106242,19790929,   76,    0
106242,19790930,   69,    0
106242,19791001,   58,    0
106242,19791002,   54,    0
106242,19791003,   47,    0
106242,19791004,   80,    0
106242,19791005,   75,    0
106242,19791006,   51,    0
106242,19791007,   68,    0
106242,19791008,  102,    0
106242,19791009,  101,    0
106242,19791010,  106,    0
106242,19791011,  137,    0
106242,19791012,  121,    0
106242,19791013,  147,    0
106242,19791014,  140,    0
106242,19791015,  153,    0
106242,19791016,  137,    0
106242,19791017,   99,    0
