EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, KALISZ (STAID: 2032).
Blended and updated with sources: 240519 912435 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
240519,19790101, -183,    0
240519,19790102, -106,    0
240519,19790103,  -95,    0
240519,19790104, -147,    0
240519,19790105, -103,    0
240519,19790106, -106,    0
240519,19790107, -120,    0
240519,19790108,   -9,    0
240519,19790109,  -16,    0
240519,19790110,  -15,    0
240519,19790111,  -24,    0
240519,19790112,  -39,    0
240519,19790113,  -39,    0
240519,19790114,  -44,    0
240519,19790115,  -22,    0
240519,19790116,  -17,    0
240519,19790117,  -36,    0
240519,19790118,  -46,    0
240519,19790119,  -50,    0
240519,19790120,  -59,    0
240519,19790121,  -95,    0
240519,19790122,  -60,    0
240519,19790123,  -63,    0
240519,19790124,    4,    0
240519,19790125,  -36,    0
240519,19790126,  -53,    0
240519,19790127,  -13,    0
240519,19790128,   -2,    0
240519,19790129,  -23,    0
240519,19790130,  -34,    0
240519,19790131,  -31,    0
240519,19790201,    0,    0
240519,19790202,   13,    0
240519,19790203,  -11,    0
240519,19790204,   -4,    0
240519,19790205,  -38,    0
240519,19790206,  -50,    0
240519,19790207,  -44,    0
240519,19790208,  -28,    0
240519,19790209,  -33,    0
240519,19790210,  -52,    0
240519,19790211,  -97,    0
240519,19790212,  -50,    0
240519,19790213,  -46,    0
240519,19790214,  -59,    0
240519,19790215,  -83,    0
240519,19790216,  -88,    0
240519,19790217,  -81,    0
240519,19790218,  -34,    0
240519,19790219,  -15,    0
240519,19790220,  -58,    0
240519,19790221,  -60,    0
240519,19790222,  -69,    0
240519,19790223,  -44,    0
240519,19790224,  -41,    0
240519,19790225,  -27,    0
240519,19790226,  -50,    0
240519,19790227,  -41,    0
240519,19790228,  -40,    0
240519,19790301,  -18,    0
240519,19790302,    0,    0
240519,19790303,   32,    0
240519,19790304,   41,    0
240519,19790305,    5,    0
240519,19790306,  -19,    0
240519,19790307,   27,    0
240519,19790308,   14,    0
240519,19790309,   15,    0
240519,19790310,   10,    0
240519,19790311,   12,    0
240519,19790312,   24,    0
240519,19790313,   39,    0
240519,19790314,   21,    0
240519,19790315,    2,    0
240519,19790316,   49,    0
240519,19790317,   25,    0
240519,19790318,  -17,    0
240519,19790319,  -22,    0
240519,19790320,   -7,    0
240519,19790321,   64,    0
240519,19790322,   50,    0
240519,19790323,   33,    0
240519,19790324,   23,    0
240519,19790325,   38,    0
240519,19790326,   84,    0
240519,19790327,   89,    0
240519,19790328,   82,    0
240519,19790329,   97,    0
240519,19790330,   62,    0
240519,19790331,   37,    0
240519,19790401,   28,    0
240519,19790402,   54,    0
240519,19790403,   69,    0
240519,19790404,   87,    0
240519,19790405,   57,    0
240519,19790406,   42,    0
240519,19790407,   17,    0
240519,19790408,   18,    0
240519,19790409,   39,    0
240519,19790410,   60,    0
240519,19790411,   61,    0
240519,19790412,   71,    0
240519,19790413,  102,    0
240519,19790414,  122,    0
240519,19790415,   90,    0
240519,19790416,   31,    0
240519,19790417,   43,    0
240519,19790418,   27,    0
240519,19790419,   34,    0
240519,19790420,   56,    0
240519,19790421,   84,    0
240519,19790422,   84,    0
240519,19790423,   96,    0
240519,19790424,  115,    0
240519,19790425,   90,    0
240519,19790426,   99,    0
240519,19790427,   93,    0
240519,19790428,   76,    0
240519,19790429,   77,    0
240519,19790430,   81,    0
240519,19790501,   50,    0
240519,19790502,   73,    0
240519,19790503,   72,    0
240519,19790504,   77,    0
240519,19790505,   70,    0
240519,19790506,   70,    0
240519,19790507,   64,    0
240519,19790508,   88,    0
240519,19790509,   95,    0
240519,19790510,  113,    0
240519,19790511,   89,    0
240519,19790512,  117,    0
240519,19790513,  130,    0
240519,19790514,  143,    0
240519,19790515,  168,    0
240519,19790516,  178,    0
240519,19790517,  187,    0
240519,19790518,  196,    0
240519,19790519,  201,    0
240519,19790520,  188,    0
240519,19790521,  231,    0
240519,19790522,  182,    0
240519,19790523,  198,    0
240519,19790524,  216,    0
240519,19790525,  152,    0
240519,19790526,  158,    0
240519,19790527,  200,    0
240519,19790528,  153,    0
240519,19790529,  160,    0
240519,19790530,  189,    0
240519,19790531,  234,    0
240519,19790601,  244,    0
240519,19790602,  249,    0
240519,19790603,  248,    0
240519,19790604,  221,    0
240519,19790605,  208,    0
240519,19790606,  211,    0
240519,19790607,  197,    0
240519,19790608,  165,    0
240519,19790609,  155,    0
240519,19790610,  152,    0
240519,19790611,  179,    0
240519,19790612,  209,    0
240519,19790613,  197,    0
240519,19790614,  150,    0
240519,19790615,  169,    0
240519,19790616,  151,    0
240519,19790617,  162,    0
240519,19790618,  155,    0
240519,19790619,  180,    0
240519,19790620,  184,    0
240519,19790621,  192,    0
240519,19790622,  163,    0
240519,19790623,  180,    0
240519,19790624,  224,    0
240519,19790625,  213,    0
240519,19790626,  212,    0
240519,19790627,  224,    0
240519,19790628,  171,    0
240519,19790629,  176,    0
240519,19790630,  157,    0
240519,19790701,  123,    0
240519,19790702,  125,    0
240519,19790703,  146,    0
240519,19790704,  160,    0
240519,19790705,  159,    0
240519,19790706,  161,    0
240519,19790707,  150,    0
240519,19790708,  135,    0
240519,19790709,  133,    0
240519,19790710,  132,    0
240519,19790711,  128,    0
240519,19790712,  157,    0
240519,19790713,  184,    0
240519,19790714,  193,    0
240519,19790715,  167,    0
240519,19790716,  132,    0
240519,19790717,  122,    0
240519,19790718,  142,    0
240519,19790719,  176,    0
240519,19790720,  153,    0
240519,19790721,  163,    0
240519,19790722,  140,    0
240519,19790723,  131,    0
240519,19790724,  121,    0
240519,19790725,  132,    0
240519,19790726,  148,    0
240519,19790727,  153,    0
240519,19790728,  161,    0
240519,19790729,  186,    0
240519,19790730,  174,    0
240519,19790731,  190,    0
240519,19790801,  200,    0
240519,19790802,  218,    0
240519,19790803,  208,    0
240519,19790804,  191,    0
240519,19790805,  165,    0
240519,19790806,  156,    0
240519,19790807,  185,    0
240519,19790808,  207,    0
240519,19790809,  182,    0
240519,19790810,  166,    0
240519,19790811,  158,    0
240519,19790812,  156,    0
240519,19790813,  143,    0
240519,19790814,  175,    0
240519,19790815,  198,    0
240519,19790816,  217,    0
240519,19790817,  208,    0
240519,19790818,  177,    0
