EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, PIWNICZNA (STAID: 24902).
Blended and updated with sources: 237178 237274 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
237178,19790101,  -96,    0
237178,19790102, -110,    0
237178,19790103,  -96,    0
237178,19790104, -109,    0
237178,19790105, -107,    0
237178,19790106,  -74,    0
237178,19790107, -116,    0
237178,19790108,  -80,    0
237178,19790109,  -64,    0
237178,19790110,  -12,    0
237178,19790111,   -6,    0
237178,19790112,   -4,    0
237178,19790113,  -62,    0
237178,19790114,  -32,    0
237178,19790115,  -37,    0
237178,19790116,  -29,    0
237178,19790117,  -75,    0
237178,19790118,  -76,    0
237178,19790119,  -49,    0
237178,19790120,  -69,    0
237178,19790121,  -61,    0
237178,19790122,  -63,    0
237178,19790123,  -29,    0
237178,19790124,  -14,    0
237178,19790125,   -9,    0
237178,19790126,  -45,    0
237178,19790127,    7,    0
237178,19790128,   66,    0
237178,19790129,   15,    0
237178,19790130,  -14,    0
237178,19790131,    7,    0
237178,19790201,  -20,    0
237178,19790202,    0,    0
237178,19790203,   -2,    0
237178,19790204,  -35,    0
237178,19790205,  -24,    0
237178,19790206,  -12,    0
237178,19790207,  -42,    0
237178,19790208,  -17,    0
237178,19790209,  -20,    0
237178,19790210,  -41,    0
237178,19790211,  -82,    0
237178,19790212,   -4,    0
237178,19790213,   14,    0
237178,19790214,   20,    0
237178,19790215,    9,    0
237178,19790216,  -37,    0
237178,19790217,  -12,    0
237178,19790218,   26,    0
237178,19790219,  -12,    0
237178,19790220,  -35,    0
237178,19790221,  -60,    0
237178,19790222,  -63,    0
237178,19790223,  -59,    0
237178,19790224,  -66,    0
237178,19790225,  -58,    0
237178,19790226,  -57,    0
237178,19790227,  -84,    0
237178,19790228,  -57,    0
237178,19790301,   14,    0
237178,19790302,   22,    0
237178,19790303,   15,    0
237178,19790304,   34,    0
237178,19790305,   16,    0
237178,19790306,   11,    0
237178,19790307,   22,    0
237178,19790308,    4,    0
237178,19790309,   -1,    0
237178,19790310,   -3,    0
237178,19790311,    0,    0
237178,19790312,    2,    0
237178,19790313,   30,    0
237178,19790314,   18,    0
237178,19790315,   14,    0
237178,19790316,   62,    0
237178,19790317,   52,    0
237178,19790318,   41,    0
237178,19790319,   43,    0
237178,19790320,   49,    0
237178,19790321,   94,    0
237178,19790322,   61,    0
237178,19790323,   43,    0
237178,19790324,   12,    0
237178,19790325,   14,    0
237178,19790326,   45,    0
237178,19790327,   59,    0
237178,19790328,   90,    0
237178,19790329,   85,    0
237178,19790330,   50,    0
237178,19790331,   26,    0
237178,19790401,   48,    0
237178,19790402,   50,    0
237178,19790403,   40,    0
237178,19790404,   45,    0
237178,19790405,   37,    0
237178,19790406,   31,    0
237178,19790407,   52,    0
237178,19790408,   17,    0
237178,19790409,   22,    0
237178,19790410,   50,    0
237178,19790411,   19,    0
237178,19790412,   50,    0
237178,19790413,   58,    0
237178,19790414,   81,    0
237178,19790415,   80,    0
237178,19790416,   48,    0
237178,19790417,   68,    0
237178,19790418,   12,    0
237178,19790419,    9,    0
237178,19790420,   33,    0
237178,19790421,   60,    0
237178,19790422,   62,    0
237178,19790423,   84,    0
237178,19790424,  118,    0
237178,19790425,  123,    0
237178,19790426,  114,    0
237178,19790427,   76,    0
237178,19790428,   78,    0
237178,19790429,   61,    0
237178,19790430,   74,    0
237178,19790501,   50,    0
237178,19790502,   83,    0
237178,19790503,   35,    0
237178,19790504,   62,    0
237178,19790505,   71,    0
237178,19790506,   64,    0
237178,19790507,   61,    0
237178,19790508,   74,    0
237178,19790509,   76,    0
237178,19790510,   84,    0
237178,19790511,   82,    0
237178,19790512,   85,    0
237178,19790513,  100,    0
237178,19790514,  102,    0
237178,19790515,  122,    0
237178,19790516,  147,    0
237178,19790517,  152,    0
237178,19790518,  178,    0
237178,19790519,  183,    0
237178,19790520,  190,    0
237178,19790521,  189,    0
237178,19790522,  152,    0
237178,19790523,  186,    0
237178,19790524,  187,    0
237178,19790525,  187,    0
237178,19790526,  154,    0
237178,19790527,  171,    0
237178,19790528,  146,    0
237178,19790529,  128,    0
237178,19790530,  158,    0
237178,19790531,  190,    0
237178,19790601,  186,    0
237178,19790602,  197,    0
237178,19790603,  198,    0
237178,19790604,  176,    0
237178,19790605,  174,    0
237178,19790606,  184,    0
237178,19790607,  172,    0
237178,19790608,  171,    0
237178,19790609,  166,    0
237178,19790610,  177,    0
237178,19790611,  159,    0
237178,19790612,  165,    0
237178,19790613,  189,    0
237178,19790614,  159,    0
237178,19790615,  160,    0
237178,19790616,  175,    0
237178,19790617,  173,    0
237178,19790618,  154,    0
237178,19790619,  169,    0
237178,19790620,  126,    0
237178,19790621,  118,    0
237178,19790622,  138,    0
237178,19790623,  180,    0
237178,19790624,  190,    0
237178,19790625,  192,    0
237178,19790626,  173,    0
237178,19790627,  194,    0
237178,19790628,  188,    0
237178,19790629,  176,    0
237178,19790630,  172,    0
237178,19790701,  127,    0
237178,19790702,  131,    0
237178,19790703,  123,    0
237178,19790704,  127,    0
237178,19790705,  132,    0
237178,19790706,  150,    0
237178,19790707,  128,    0
237178,19790708,  131,    0
237178,19790709,  137,    0
237178,19790710,  130,    0
237178,19790711,  135,    0
237178,19790712,  150,    0
237178,19790713,  159,    0
237178,19790714,  160,    0
237178,19790715,  158,    0
237178,19790716,  126,    0
237178,19790717,  128,    0
237178,19790718,  139,    0
237178,19790719,  176,    0
237178,19790720,  186,    0
237178,19790721,  182,    0
237178,19790722,  161,    0
237178,19790723,  138,    0
237178,19790724,  143,    0
237178,19790725,  126,    0
237178,19790726,  135,    0
237178,19790727,  134,    0
237178,19790728,  132,    0
237178,19790729,  142,    0
237178,19790730,  167,    0
237178,19790731,  184,    0
237178,19790801,  210,    0
237178,19790802,  221,    0
237178,19790803,  198,    0
237178,19790804,  185,    0
237178,19790805,  155,    0
237178,19790806,  133,    0
237178,19790807,  157,    0
237178,19790808,  171,    0
237178,19790809,  171,    0
237178,19790810,  149,    0
237178,19790811,  134,    0
237178,19790812,  112,    0
237178,19790813,  106,    0
237178,19790814,  141,    0
237178,19790815,  174,    0
237178,19790816,  174,    0
237178,19790817,  148,    0
237178,19790818,  134,    0
237178,19790819,  160,    0
237178,19790820,  160,    0
237178,19790821,  149,    0
237178,19790822,  160,    0
237178,19790823,  166,    0
237178,19790824,  184,    0
237178,19790825,  138,    0
237178,19790826,  130,    0
237178,19790827,  104,    0
237178,19790828,  119,    0
237178,19790829,  110,    0
237178,19790830,  118,    0
237178,19790831,  120,    0
237178,19790901,  142,    0
237178,19790902,  154,    0
237178,19790903,  161,    0
237178,19790904,  126,    0
237178,19790905,  133,    0
237178,19790906,  144,    0
237178,19790907,  125,    0
237178,19790908,  129,    0
237178,19790909,  129,    0
237178,19790910,  125,    0
237178,19790911,  146,    0
237178,19790912,  135,    0
237178,19790913,  159,    0
237178,19790914,  148,    0
237178,19790915,   97,    0
237178,19790916,   62,    0
237178,19790917,   64,    0
237178,19790918,  118,    0
237178,19790919,  142,    0
237178,19790920,  144,    0
237178,19790921,  150,    0
237178,19790922,  154,    0
237178,19790923,  142,    0
237178,19790924,  142,    0
237178,19790925,  126,    0
237178,19790926,  101,    0
237178,19790927,  100,    0
237178,19790928,   97,    0
237178,19790929,   99,    0
237178,19790930,   59,    0
237178,19791001,   52,    0
237178,19791002,   23,    0
237178,19791003,   15,    0
237178,19791004,   30,    0
237178,19791005,   79,    0
237178,19791006,   37,    0
237178,19791007,   24,    0
237178,19791008,   48,    0
237178,19791009,   56,    0
237178,19791010,   54,    0
237178,19791011,   96,    0
237178,19791012,  128,    0
237178,19791013,  122,    0
237178,19791014,  136,    0
