EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, LEGNICA (STAID: 25138).
Blended and updated with sources: 240115 912415 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
240115,19790101,    0,    1
240115,19790102,10140,    0
240115,19790103,    0,    1
240115,19790104,10102,    0
240115,19790105,    0,    1
240115,19790106,10321,    0
240115,19790107,    0,    1
240115,19790108,10221,    0
240115,19790109,    0,    1
240115,19790110,10035,    0
240115,19790111,    0,    1
240115,19790112, 9926,    0
240115,19790113,    0,    1
240115,19790114,10190,    0
240115,19790115,    0,    1
240115,19790116,10255,    0
240115,19790117,    0,    1
240115,19790118,10303,    0
240115,19790119,    0,    1
240115,19790120,10269,    0
240115,19790121,    0,    1
240115,19790122,10229,    0
240115,19790123,    0,    1
240115,19790124,10029,    0
240115,19790125,    0,    1
240115,19790126,10003,    0
240115,19790127,    0,    1
240115,19790128, 9963,    0
240115,19790129,    0,    1
240115,19790130,10022,    0
240115,19790131,    0,    1
240115,19790201,10071,    0
240115,19790202,    0,    1
240115,19790203,10039,    0
240115,19790204,    0,    1
240115,19790205,10006,    0
240115,19790206,    0,    1
240115,19790207,10116,    0
240115,19790208,    0,    1
240115,19790209,10072,    0
240115,19790210,    0,    1
240115,19790211,10109,    0
240115,19790212,    0,    1
240115,19790213, 9937,    0
240115,19790214,    0,    1
240115,19790215,10075,    0
240115,19790216,    0,    1
240115,19790217,10242,    0
240115,19790218,    0,    1
240115,19790219,10269,    0
240115,19790220,    0,    1
240115,19790221,10330,    0
240115,19790222,    0,    1
240115,19790223,10260,    0
240115,19790224,    0,    1
240115,19790225,10357,    0
240115,19790226,    0,    1
240115,19790227,10264,    0
240115,19790228,    0,    1
240115,19790301,10140,    0
240115,19790302,    0,    1
240115,19790303,10259,    0
240115,19790304,    0,    1
240115,19790305,10303,    0
240115,19790306,    0,    1
240115,19790307,10146,    0
240115,19790308,    0,    1
240115,19790309,10149,    0
240115,19790310,    0,    1
240115,19790311,10096,    0
240115,19790312,    0,    1
240115,19790313,10067,    0
240115,19790314,    0,    1
240115,19790315,10059,    0
240115,19790316,    0,    1
240115,19790317, 9974,    0
240115,19790318,    0,    1
240115,19790319,10039,    0
240115,19790320,    0,    1
240115,19790321,10023,    0
240115,19790322,    0,    1
240115,19790323,10129,    0
240115,19790324,    0,    1
240115,19790325,10166,    0
240115,19790326,    0,    1
240115,19790327,10005,    0
240115,19790328,    0,    1
240115,19790329, 9906,    0
240115,19790330,    0,    1
240115,19790331,10007,    0
240115,19790401,    0,    1
240115,19790402,10062,    0
240115,19790403,    0,    1
240115,19790404,10033,    0
240115,19790405,    0,    1
240115,19790406,10097,    0
240115,19790407,    0,    1
240115,19790408,10176,    0
240115,19790409,    0,    1
240115,19790410,10179,    0
240115,19790411,    0,    1
240115,19790412,10160,    0
240115,19790413,    0,    1
240115,19790414,10172,    0
240115,19790415,    0,    1
240115,19790416,10235,    0
240115,19790417,    0,    1
240115,19790418,10238,    0
240115,19790419,    0,    1
240115,19790420,10191,    0
240115,19790421,    0,    1
240115,19790422,10093,    0
240115,19790423,    0,    1
240115,19790424, 9992,    0
240115,19790425,    0,    1
240115,19790426,10116,    0
240115,19790427,    0,    1
240115,19790428,10162,    0
240115,19790429,    0,    1
240115,19790430,10027,    0
240115,19790501,    0,    1
240115,19790502,10020,    0
240115,19790503,    0,    1
240115,19790504,10149,    0
240115,19790505,    0,    1
240115,19790506,10215,    0
240115,19790507,    0,    1
240115,19790508,10264,    0
240115,19790509,    0,    1
240115,19790510,10227,    0
240115,19790511,    0,    1
240115,19790512,10246,    0
240115,19790513,    0,    1
240115,19790514,10307,    0
240115,19790515,    0,    1
240115,19790516,10149,    0
240115,19790517,    0,    1
240115,19790518,10132,    0
240115,19790519,    0,    1
240115,19790520,10179,    0
240115,19790521,    0,    1
240115,19790522,10176,    0
240115,19790523,    0,    1
240115,19790524,10069,    0
240115,19790525,    0,    1
240115,19790526,10171,    0
240115,19790527,    0,    1
240115,19790528,10167,    0
240115,19790529,    0,    1
240115,19790530,10215,    0
240115,19790531,    0,    1
240115,19790601,10227,    0
240115,19790602,    0,    1
240115,19790603,10250,    0
240115,19790604,    0,    1
240115,19790605,10175,    0
240115,19790606,    0,    1
240115,19790607,10157,    0
240115,19790608,    0,    1
240115,19790609,10172,    0
240115,19790610,    0,    1
240115,19790611,10206,    0
240115,19790612,    0,    1
240115,19790613,10114,    0
240115,19790614,    0,    1
240115,19790615,10064,    0
240115,19790616,    0,    1
240115,19790617,10154,    0
240115,19790618,    0,    1
240115,19790619,10202,    0
240115,19790620,    0,    1
240115,19790621,10166,    0
240115,19790622,    0,    1
240115,19790623,10144,    0
240115,19790624,    0,    1
240115,19790625,10156,    0
240115,19790626,    0,    1
240115,19790627,10171,    0
240115,19790628,    0,    1
240115,19790629,10156,    0
240115,19790630,    0,    1
240115,19790701,10171,    0
240115,19790702,    0,    1
240115,19790703,10213,    0
240115,19790704,    0,    1
240115,19790705,10242,    0
240115,19790706,    0,    1
240115,19790707,10146,    0
240115,19790708,    0,    1
240115,19790709,10116,    0
240115,19790710,    0,    1
240115,19790711,10219,    0
240115,19790712,    0,    1
240115,19790713,10171,    0
240115,19790714,    0,    1
240115,19790715,10209,    0
240115,19790716,    0,    1
240115,19790717,10159,    0
240115,19790718,    0,    1
240115,19790719,10075,    0
240115,19790720,    0,    1
240115,19790721,10120,    0
240115,19790722,    0,    1
240115,19790723,10192,    0
240115,19790724,    0,    1
240115,19790725,10175,    0
240115,19790726,    0,    1
240115,19790727,10206,    0
240115,19790728,    0,    1
240115,19790729,10143,    0
240115,19790730,    0,    1
240115,19790731,10091,    0
240115,19790801,    0,    1
240115,19790802,10095,    0
240115,19790803,    0,    1
240115,19790804,10172,    0
240115,19790805,    0,    1
240115,19790806,10183,    0
240115,19790807,    0,    1
240115,19790808,10100,    0
240115,19790809,    0,    1
240115,19790810,10050,    0
240115,19790811,    0,    1
240115,19790812,10190,    0
240115,19790813,    0,    1
240115,19790814,10160,    0
240115,19790815,    0,    1
240115,19790816,10133,    0
240115,19790817,    0,    1
240115,19790818,10106,    0
240115,19790819,    0,    1
240115,19790820,10122,    0
240115,19790821,    0,    1
240115,19790822,10150,    0
240115,19790823,    0,    1
240115,19790824,10112,    0
240115,19790825,    0,    1
240115,19790826,10073,    0
240115,19790827,    0,    1
240115,19790828,10182,    0
240115,19790829,    0,    1
240115,19790830,10263,    0
240115,19790831,    0,    1
240115,19790901,10213,    0
240115,19790902,    0,    1
240115,19790903,10163,    0
240115,19790904,    0,    1
240115,19790905,10235,    0
240115,19790906,    0,    1
240115,19790907,10200,    0
240115,19790908,    0,    1
240115,19790909,10193,    0
240115,19790910,    0,    1
240115,19790911,10199,    0
240115,19790912,    0,    1
240115,19790913,10163,    0
240115,19790914,    0,    1
240115,19790915,10152,    0
240115,19790916,    0,    1
240115,19790917,10172,    0
240115,19790918,    0,    1
240115,19790919,10170,    0
240115,19790920,    0,    1
240115,19790921,10126,    0
240115,19790922,    0,    1
240115,19790923,10173,    0
240115,19790924,    0,    1
240115,19790925,10180,    0
240115,19790926,    0,    1
240115,19790927,10253,    0
240115,19790928,    0,    1
240115,19790929,10291,    0
240115,19790930,    0,    1
240115,19791001,10260,    0
240115,19791002,    0,    1
240115,19791003,10286,    0
240115,19791004,    0,    1
240115,19791005,10137,    0
240115,19791006,    0,    1
240115,19791007,10241,    0
240115,19791008,    0,    1
240115,19791009,10215,    0
240115,19791010,    0,    1
240115,19791011,10097,    0
240115,19791012,    0,    1
240115,19791013,10025,    0
240115,19791014,    0,    1
240115,19791015,10006,    0
240115,19791016,    0,    1
240115,19791017,10173,    0
240115,19791018,    0,    1
240115,19791019,10240,    0
240115,19791020,    0,    1
240115,19791021,10265,    0
240115,19791022,    0,    1
240115,19791023,10319,    0
240115,19791024,    0,    1
240115,19791025,10324,    0
240115,19791026,    0,    1
240115,19791027,10225,    0
240115,19791028,    0,    1
240115,19791029,10121,    0
240115,19791030,    0,    1
240115,19791031,10197,    0
240115,19791101,    0,    1
240115,19791102,10209,    0
240115,19791103,    0,    1
240115,19791104,10246,    0
240115,19791105,    0,    1
240115,19791106, 9950,    0
240115,19791107,    0,    1
240115,19791108,10013,    0
240115,19791109,    0,    1
240115,19791110,10154,    0
240115,19791111,    0,    1
240115,19791112,10175,    0
240115,19791113,    0,    1
240115,19791114,10064,    0
240115,19791115,    0,    1
240115,19791116,10006,    0
240115,19791117,    0,    1
240115,19791118,10115,    0
240115,19791119,    0,    1
240115,19791120,10174,    0
240115,19791121,    0,    1
240115,19791122,10301,    0
240115,19791123,    0,    1
240115,19791124,10204,    0
240115,19791125,    0,    1
240115,19791126,10209,    0
240115,19791127,    0,    1
240115,19791128,10250,    0
240115,19791129,    0,    1
240115,19791130,10141,    0
240115,19791201,    0,    1
240115,19791202,10236,    0
240115,19791203,    0,    1
240115,19791204,10264,    0
240115,19791205,    0,    1
240115,19791206,10204,    0
