EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : snow depth in 1 cm
23-27 Q_SD : Quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, LEBORK (STAID: 25149).
Blended and updated with sources: 240240 912125 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
240240,19790101,   25,    0
240240,19790102,   31,    0
240240,19790103,   36,    0
240240,19790104,   43,    0
240240,19790105,   50,    0
240240,19790106,   49,    0
240240,19790107,   44,    0
240240,19790108,   36,    0
240240,19790109,   29,    0
240240,19790110,   28,    0
240240,19790111,   29,    0
240240,19790112,   33,    0
240240,19790113,   35,    0
240240,19790114,   35,    0
240240,19790115,   40,    0
240240,19790116,   36,    0
240240,19790117,   36,    0
240240,19790118,   36,    0
240240,19790119,   36,    0
240240,19790120,   34,    0
240240,19790121,   34,    0
240240,19790122,   33,    0
240240,19790123,   33,    0
240240,19790124,   33,    0
240240,19790125,   34,    0
240240,19790126,   34,    0
240240,19790127,   33,    0
240240,19790128,   32,    0
240240,19790129,   31,    0
240240,19790130,   31,    0
240240,19790131,   31,    0
240240,19790201,   42,    0
240240,19790202,   36,    0
240240,19790203,   34,    0
240240,19790204,   35,    0
240240,19790205,   35,    0
240240,19790206,   34,    0
240240,19790207,   34,    0
240240,19790208,   34,    0
240240,19790209,   38,    0
240240,19790210,   40,    0
240240,19790211,   39,    0
240240,19790212,   39,    0
240240,19790213,   38,    0
240240,19790214,   38,    0
240240,19790215,   42,    0
240240,19790216,   45,    0
240240,19790217,   45,    0
240240,19790218,   48,    0
240240,19790219,   48,    0
240240,19790220,   46,    0
240240,19790221,   44,    0
240240,19790222,   42,    0
240240,19790223,   41,    0
240240,19790224,   41,    0
240240,19790225,   43,    0
240240,19790226,   41,    0
240240,19790227,   41,    0
240240,19790228,   41,    0
240240,19790301,   39,    0
240240,19790302,   38,    0
240240,19790303,   35,    0
240240,19790304,   30,    0
240240,19790305,   18,    0
240240,19790306,   12,    0
240240,19790307,    9,    0
240240,19790308,    7,    0
240240,19790309,    0,    0
240240,19790310,    1,    0
240240,19790311,    0,    0
240240,19790312,    0,    0
240240,19790313,    0,    0
240240,19790314,    0,    0
240240,19790315,    0,    0
240240,19790316,    0,    0
240240,19790317,    0,    0
240240,19790318,    4,    0
240240,19790319,    3,    0
240240,19790320,    3,    0
240240,19790321,    0,    0
240240,19790322,    1,    0
240240,19790323,    0,    0
240240,19790324,    2,    0
240240,19790325,    0,    0
240240,19790326,    0,    0
240240,19790327,    0,    0
240240,19790328,    0,    0
240240,19790329,    0,    0
240240,19790330,    0,    0
240240,19790331,    0,    0
240240,19790401,    3,    0
240240,19790402,    3,    0
240240,19790403,    0,    0
240240,19790404,    0,    0
240240,19790405,    0,    0
240240,19790406,    0,    0
240240,19790407,    0,    0
240240,19790408,    0,    0
240240,19790409,    0,    0
240240,19790410,    0,    0
240240,19790411,    0,    0
240240,19790412,    0,    0
240240,19790413,    0,    0
240240,19790414,    0,    0
240240,19790415,    0,    0
240240,19790416,    0,    0
240240,19790417,    0,    0
240240,19790418,    0,    0
240240,19790419,    0,    0
240240,19790420,    0,    0
240240,19790421,    0,    0
240240,19790422,    0,    0
240240,19790423,    0,    0
240240,19790424,    0,    0
240240,19790425,    0,    0
240240,19790426,    0,    0
240240,19790427,    0,    0
240240,19790428,    0,    0
240240,19790429,    0,    0
240240,19790430,    0,    0
240240,19790501,    0,    0
240240,19790502,    0,    0
240240,19790503,    0,    0
240240,19790504,    0,    0
240240,19790505,    0,    0
240240,19790506,    0,    0
240240,19790507,    0,    0
240240,19790508,    0,    0
240240,19790509,    0,    0
240240,19790510,    0,    0
240240,19790511,    0,    0
240240,19790512,    0,    0
240240,19790513,    0,    0
240240,19790514,    0,    0
240240,19790515,    0,    0
240240,19790516,    0,    0
240240,19790517,    0,    0
240240,19790518,    0,    0
240240,19790519,    0,    0
