EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, WIELICZKA (STAID: 24974).
Blended and updated with sources: 238142 240672 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
238142,19790101,   30,    0
238142,19790102,   40,    0
238142,19790103,   33,    0
238142,19790104,   43,    0
238142,19790105,   37,    0
238142,19790106,   30,    0
238142,19790107,   10,    0
238142,19790108,   13,    0
238142,19790109,   13,    0
238142,19790110,   10,    0
238142,19790111,    7,    0
238142,19790112,   10,    0
238142,19790113,   10,    0
238142,19790114,   27,    0
238142,19790115,   30,    0
238142,19790116,   20,    0
238142,19790117,    7,    0
238142,19790118,   17,    0
238142,19790119,   27,    0
238142,19790120,   23,    0
238142,19790121,   20,    0
238142,19790122,   10,    0
238142,19790123,   17,    0
238142,19790124,   10,    0
238142,19790125,   17,    0
238142,19790126,   17,    0
238142,19790127,    7,    0
240672,19790128,    0,    0
238142,19790129,   23,    0
238142,19790130,   47,    0
238142,19790131,   37,    0
238142,19790201,   40,    0
238142,19790202,   47,    0
238142,19790203,   17,    0
238142,19790204,   20,    0
238142,19790205,    7,    0
238142,19790206,   17,    0
238142,19790207,   23,    0
238142,19790208,   33,    0
238142,19790209,   37,    0
238142,19790210,   23,    0
238142,19790211,   10,    0
238142,19790212,   27,    0
238142,19790213,   20,    0
238142,19790214,   13,    0
238142,19790215,   33,    0
238142,19790216,   53,    0
238142,19790217,   40,    0
238142,19790218,   30,    0
238142,19790219,   27,    0
238142,19790220,   43,    0
238142,19790221,   20,    0
238142,19790222,   13,    0
238142,19790223,   13,    0
238142,19790224,   10,    0
238142,19790225,   30,    0
238142,19790226,   10,    0
238142,19790227,   10,    0
238142,19790228,    7,    0
238142,19790301,   23,    0
238142,19790302,   23,    0
238142,19790303,   17,    0
238142,19790304,    7,    0
238142,19790305,    7,    0
238142,19790306,   17,    0
238142,19790307,   10,    0
238142,19790308,   20,    0
238142,19790309,   27,    0
238142,19790310,   50,    0
238142,19790311,   10,    0
238142,19790312,   40,    0
238142,19790313,   30,    0
238142,19790314,   27,    0
238142,19790315,   30,    0
238142,19790316,   17,    0
238142,19790317,   50,    0
238142,19790318,   43,    0
238142,19790319,   23,    0
238142,19790320,   23,    0
238142,19790321,   27,    0
238142,19790322,   13,    0
238142,19790323,   23,    0
238142,19790324,   27,    0
238142,19790325,   17,    0
238142,19790326,   27,    0
238142,19790327,   17,    0
238142,19790328,   17,    0
238142,19790329,   20,    0
238142,19790330,   33,    0
238142,19790331,   40,    0
238142,19790401,   37,    0
238142,19790402,   27,    0
238142,19790403,   23,    0
238142,19790404,   23,    0
238142,19790405,   23,    0
238142,19790406,   40,    0
238142,19790407,   33,    0
238142,19790408,   10,    0
238142,19790409,   23,    0
238142,19790410,   27,    0
238142,19790411,   20,    0
238142,19790412,   27,    0
238142,19790413,   23,    0
238142,19790414,   17,    0
238142,19790415,   23,    0
238142,19790416,   33,    0
238142,19790417,   27,    0
238142,19790418,   27,    0
238142,19790419,   30,    0
238142,19790420,   23,    0
238142,19790421,   13,    0
238142,19790422,   17,    0
238142,19790423,   40,    0
238142,19790424,   30,    0
238142,19790425,   13,    0
238142,19790426,   23,    0
238142,19790427,   20,    0
238142,19790428,   10,    0
238142,19790429,   27,    0
238142,19790430,   47,    0
238142,19790501,   10,    0
238142,19790502,   20,    0
238142,19790503,   20,    0
238142,19790504,   13,    0
238142,19790505,   23,    0
238142,19790506,   23,    0
238142,19790507,   23,    0
238142,19790508,   23,    0
238142,19790509,   23,    0
238142,19790510,   20,    0
238142,19790511,   23,    0
238142,19790512,   30,    0
238142,19790513,   13,    0
238142,19790514,   13,    0
238142,19790515,   20,    0
238142,19790516,   10,    0
238142,19790517,   17,    0
238142,19790518,   13,    0
238142,19790519,   13,    0
238142,19790520,   20,    0
238142,19790521,   17,    0
238142,19790522,    7,    0
238142,19790523,   17,    0
238142,19790524,   13,    0
238142,19790525,   23,    0
238142,19790526,   13,    0
238142,19790527,   17,    0
238142,19790528,   37,    0
238142,19790529,   20,    0
238142,19790530,   27,    0
238142,19790531,   30,    0
238142,19790601,   17,    0
238142,19790602,   13,    0
238142,19790603,   20,    0
238142,19790604,   20,    0
238142,19790605,   13,    0
238142,19790606,   27,    0
240672,19790607,    0,    0
238142,19790608,   20,    0
238142,19790609,   10,    0
238142,19790610,   23,    0
238142,19790611,   20,    0
238142,19790612,   23,    0
238142,19790613,   13,    0
238142,19790614,   27,    0
238142,19790615,   13,    0
238142,19790616,   17,    0
238142,19790617,   20,    0
238142,19790618,   20,    0
238142,19790619,   10,    0
238142,19790620,   17,    0
238142,19790621,   20,    0
238142,19790622,   20,    0
238142,19790623,   20,    0
238142,19790624,   10,    0
238142,19790625,   17,    0
238142,19790626,   10,    0
238142,19790627,   20,    0
238142,19790628,   20,    0
238142,19790629,   17,    0
238142,19790630,   27,    0
238142,19790701,   30,    0
238142,19790702,   17,    0
238142,19790703,   20,    0
238142,19790704,   17,    0
238142,19790705,   37,    0
238142,19790706,   63,    0
238142,19790707,   40,    0
238142,19790708,   33,    0
238142,19790709,   50,    0
238142,19790710,   33,    0
238142,19790711,   27,    0
238142,19790712,   10,    0
238142,19790713,   17,    0
238142,19790714,   17,    0
238142,19790715,   20,    0
238142,19790716,   20,    0
238142,19790717,   23,    0
238142,19790718,   27,    0
238142,19790719,   57,    0
238142,19790720,   33,    0
238142,19790721,   17,    0
238142,19790722,   37,    0
238142,19790723,   33,    0
238142,19790724,   13,    0
238142,19790725,   30,    0
238142,19790726,   17,    0
238142,19790727,   40,    0
238142,19790728,   43,    0
238142,19790729,   13,    0
238142,19790730,   23,    0
238142,19790731,   10,    0
238142,19790801,   20,    0
238142,19790802,   17,    0
238142,19790803,   13,    0
238142,19790804,   17,    0
238142,19790805,   40,    0
238142,19790806,   17,    0
238142,19790807,   13,    0
238142,19790808,   13,    0
238142,19790809,   13,    0
238142,19790810,   17,    0
238142,19790811,   20,    0
238142,19790812,   17,    0
238142,19790813,   23,    0
238142,19790814,   20,    0
238142,19790815,   17,    0
238142,19790816,   17,    0
238142,19790817,   23,    0
238142,19790818,   27,    0
238142,19790819,   17,    0
238142,19790820,   17,    0
238142,19790821,   23,    0
238142,19790822,   13,    0
238142,19790823,   10,    0
238142,19790824,   20,    0
238142,19790825,   20,    0
238142,19790826,   27,    0
238142,19790827,   23,    0
238142,19790828,   27,    0
238142,19790829,   40,    0
238142,19790830,   20,    0
238142,19790831,   23,    0
238142,19790901,   13,    0
238142,19790902,   10,    0
238142,19790903,   17,    0
238142,19790904,   20,    0
238142,19790905,   17,    0
240672,19790906,    0,    0
238142,19790907,    7,    0
238142,19790908,   10,    0
238142,19790909,   10,    0
238142,19790910,   20,    0
238142,19790911,   27,    0
238142,19790912,   27,    0
238142,19790913,   10,    0
238142,19790914,   17,    0
238142,19790915,   47,    0
238142,19790916,   33,    0
238142,19790917,   27,    0
238142,19790918,   33,    0
238142,19790919,   27,    0
238142,19790920,   17,    0
238142,19790921,   13,    0
238142,19790922,   20,    0
238142,19790923,   10,    0
238142,19790924,   10,    0
238142,19790925,   40,    0
238142,19790926,   23,    0
238142,19790927,   17,    0
240672,19790928,    0,    0
238142,19790929,   13,    0
238142,19790930,   13,    0
238142,19791001,   17,    0
238142,19791002,   17,    0
238142,19791003,   20,    0
238142,19791004,   10,    0
240672,19791005,    0,    0
238142,19791006,   23,    0
238142,19791007,   17,    0
238142,19791008,   13,    0
238142,19791009,   13,    0
238142,19791010,   10,    0
238142,19791011,   23,    0
238142,19791012,   40,    0
238142,19791013,   20,    0
238142,19791014,   30,    0
238142,19791015,   20,    0
238142,19791016,   30,    0
238142,19791017,   20,    0
238142,19791018,   27,    0
238142,19791019,   33,    0
238142,19791020,   33,    0
238142,19791021,   17,    0
238142,19791022,   23,    0
238142,19791023,   30,    0
238142,19791024,   23,    0
238142,19791025,   20,    0
238142,19791026,   20,    0
238142,19791027,   13,    0
238142,19791028,   13,    0
238142,19791029,   23,    0
238142,19791030,   23,    0
238142,19791031,   30,    0
238142,19791101,   27,    0
238142,19791102,   23,    0
238142,19791103,   23,    0
238142,19791104,   13,    0
238142,19791105,   37,    0
238142,19791106,   27,    0
238142,19791107,   27,    0
238142,19791108,   87,    0
238142,19791109,   97,    0
238142,19791110,   17,    0
238142,19791111,   23,    0
238142,19791112,   10,    0
238142,19791113,   17,    0
238142,19791114,   23,    0
238142,19791115,   27,    0
238142,19791116,   20,    0
238142,19791117,   13,    0
238142,19791118,   13,    0
238142,19791119,   27,    0
238142,19791120,   23,    0
238142,19791121,   17,    0
238142,19791122,   13,    0
238142,19791123,    7,    0
238142,19791124,   13,    0
238142,19791125,   23,    0
238142,19791126,   17,    0
238142,19791127,   50,    0
238142,19791128,   27,    0
238142,19791129,   27,    0
238142,19791130,   30,    0
238142,19791201,   33,    0
238142,19791202,   27,    0
238142,19791203,   27,    0
238142,19791204,   20,    0
238142,19791205,   30,    0
238142,19791206,   30,    0
238142,19791207,   30,    0
238142,19791208,   20,    0
238142,19791209,   20,    0
238142,19791210,   83,    0
238142,19791211,   63,    0
238142,19791212,   57,    0
238142,19791213,   17,    0
238142,19791214,   13,    0
238142,19791215,   23,    0
238142,19791216,   20,    0
238142,19791217,   27,    0
238142,19791218,   30,    0
238142,19791219,   20,    0
238142,19791220,   27,    0
238142,19791221,   23,    0
238142,19791222,   17,    0
238142,19791223,   20,    0
238142,19791224,   17,    0
238142,19791225,   17,    0
238142,19791226,   13,    0
238142,19791227,   27,    0
238142,19791228,   17,    0
238142,19791229,   20,    0
238142,19791230,   17,    0
238142,19791231,   23,    0
238142,19800101,   20,    0
238142,19800102,   23,    0
238142,19800103,   33,    0
238142,19800104,   27,    0
238142,19800105,   23,    0
238142,19800106,   17,    0
238142,19800107,   20,    0
238142,19800108,   20,    0
238142,19800109,   27,    0
238142,19800110,   20,    0
238142,19800111,   23,    0
238142,19800112,   13,    0
238142,19800113,   27,    0
240672,19800114,    0,    0
240672,19800115,    0,    0
238142,19800116,   10,    0
238142,19800117,   23,    0
238142,19800118,   10,    0
240672,19800119,    0,    0
240672,19800120,    0,    0
238142,19800121,   17,    0
238142,19800122,   20,    0
238142,19800123,   30,    0
238142,19800124,   17,    0
238142,19800125,   30,    0
238142,19800126,   43,    0
238142,19800127,   33,    0
238142,19800128,   27,    0
238142,19800129,   20,    0
238142,19800130,   30,    0
238142,19800131,   43,    0
238142,19800201,   57,    0
238142,19800202,   23,    0
238142,19800203,   30,    0
238142,19800204,   30,    0
238142,19800205,   23,    0
238142,19800206,   23,    0
238142,19800207,   17,    0
238142,19800208,   17,    0
238142,19800209,   13,    0
238142,19800210,   13,    0
238142,19800211,   17,    0
238142,19800212,   33,    0
238142,19800213,   23,    0
238142,19800214,   20,    0
238142,19800215,   17,    0
238142,19800216,   13,    0
238142,19800217,   23,    0
238142,19800218,   13,    0
238142,19800219,   27,    0
238142,19800220,   20,    0
238142,19800221,   20,    0
238142,19800222,   30,    0
238142,19800223,   20,    0
238142,19800224,    7,    0
238142,19800225,   17,    0
238142,19800226,   23,    0
238142,19800227,   13,    0
238142,19800228,   17,    0
238142,19800229,   23,    0
238142,19800301,   30,    0
238142,19800302,   47,    0
238142,19800303,   53,    0
238142,19800304,   43,    0
238142,19800305,   27,    0
238142,19800306,   30,    0
238142,19800307,   20,    0
238142,19800308,   10,    0
238142,19800309,   13,    0
238142,19800310,   30,    0
238142,19800311,   23,    0
238142,19800312,   20,    0
238142,19800313,   27,    0
238142,19800314,   33,    0
238142,19800315,   37,    0
238142,19800316,   23,    0
238142,19800317,   17,    0
238142,19800318,   23,    0
238142,19800319,   37,    0
238142,19800320,   33,    0
238142,19800321,   40,    0
238142,19800322,   27,    0
