EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 29-03-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, WARSZAWA-OKECIE (STAID: 209).
Blended and updated with sources: 239100 240611 912375 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
240611,19510101,    0,    0
240611,19510102,    0,    0
240611,19510103,    0,    0
240611,19510104,    0,    0
240611,19510105,    0,    0
240611,19510106,    0,    0
240611,19510107,    0,    0
240611,19510108,    0,    0
240611,19510109,    0,    0
240611,19510110,    0,    0
240611,19510111,    0,    0
240611,19510112,    0,    0
240611,19510113,    0,    0
240611,19510114,    0,    0
240611,19510115,    0,    0
240611,19510116,    0,    0
240611,19510117,    0,    0
240611,19510118,    4,    0
240611,19510119,    4,    0
240611,19510120,    2,    0
240611,19510121,    3,    0
240611,19510122,    3,    0
240611,19510123,    2,    0
240611,19510124,    2,    0
240611,19510125,    2,    0
240611,19510126,    2,    0
240611,19510127,    2,    0
240611,19510128,    3,    0
240611,19510129,    3,    0
240611,19510130,    3,    0
240611,19510131,    3,    0
240611,19510201,    3,    0
240611,19510202,    3,    0
240611,19510203,    3,    0
240611,19510204,    3,    0
240611,19510205,    3,    0
240611,19510206,    3,    0
240611,19510207,    0,    0
240611,19510208,    0,    0
240611,19510209,    0,    0
240611,19510210,    0,    0
240611,19510211,    0,    0
240611,19510212,    0,    0
240611,19510213,    0,    0
240611,19510214,    0,    0
240611,19510215,    0,    0
240611,19510216,    1,    0
240611,19510217,    2,    0
240611,19510218,    3,    0
240611,19510219,    1,    0
240611,19510220,    1,    0
240611,19510221,    0,    0
240611,19510222,    0,    0
240611,19510223,    0,    0
240611,19510224,    0,    0
240611,19510225,    0,    0
240611,19510226,    0,    0
240611,19510227,    3,    0
240611,19510228,    6,    0
240611,19510301,    3,    0
240611,19510302,    4,    0
240611,19510303,    4,    0
240611,19510304,    4,    0
240611,19510305,    5,    0
240611,19510306,   14,    0
240611,19510307,   14,    0
240611,19510308,   14,    0
240611,19510309,   13,    0
240611,19510310,   10,    0
240611,19510311,    8,    0
240611,19510312,    8,    0
240611,19510313,    0,    0
240611,19510314,    0,    0
240611,19510315,    0,    0
240611,19510316,    0,    0
240611,19510317,    0,    0
240611,19510318,    0,    0
240611,19510319,    0,    0
240611,19510320,    0,    0
240611,19510321,    0,    0
240611,19510322,    0,    0
240611,19510323,    1,    0
240611,19510324,    0,    0
240611,19510325,    0,    0
240611,19510326,    0,    0
240611,19510327,    0,    0
240611,19510328,    0,    0
240611,19510329,    0,    0
240611,19510330,    0,    0
240611,19510331,    0,    0
240611,19510401,    0,    0
240611,19510402,    0,    0
240611,19510403,    0,    0
240611,19510404,    0,    0
240611,19510405,    0,    0
240611,19510406,    0,    0
240611,19510407,    0,    0
240611,19510408,    0,    0
240611,19510409,    0,    0
240611,19510410,    0,    0
240611,19510411,    0,    0
240611,19510412,    0,    0
240611,19510413,    0,    0
240611,19510414,    0,    0
240611,19510415,    0,    0
240611,19510416,    0,    0
240611,19510417,    0,    0
240611,19510418,    0,    0
240611,19510419,    0,    0
240611,19510420,    0,    0
240611,19510421,    0,    0
240611,19510422,    0,    0
240611,19510423,    0,    0
240611,19510424,    0,    0
240611,19510425,    0,    0
240611,19510426,    0,    0
240611,19510427,    0,    0
240611,19510428,    0,    0
240611,19510429,    0,    0
240611,19510430,    0,    0
240611,19510501,    0,    0
240611,19510502,    0,    0
240611,19510503,    0,    0
240611,19510504,    0,    0
240611,19510505,    0,    0
240611,19510506,    0,    0
240611,19510507,    0,    0
240611,19510508,    0,    0
240611,19510509,    0,    0
240611,19510510,    0,    0
240611,19510511,    0,    0
240611,19510512,    0,    0
240611,19510513,    0,    0
240611,19510514,    0,    0
240611,19510515,    0,    0
240611,19510516,    0,    0
240611,19510517,    0,    0
240611,19510518,    0,    0
240611,19510519,    0,    0
240611,19510520,    0,    0
240611,19510521,    0,    0
240611,19510522,    0,    0
240611,19510523,    0,    0
240611,19510524,    0,    0
240611,19510525,    0,    0
240611,19510526,    0,    0
240611,19510527,    0,    0
240611,19510528,    0,    0
240611,19510529,    0,    0
240611,19510530,    0,    0
240611,19510531,    0,    0
240611,19510601,    0,    0
240611,19510602,    0,    0
240611,19510603,    0,    0
240611,19510604,    0,    0
