STAID,STANAME,CN,LAT,LON,HGHT,county,state
24860,PSZCZYNA                                ,PL,50.0,18.916666666666668,261,powiat pszczyński,województwo śląskie
24876,JABLONKA                                ,PL,49.46666666666667,19.7,671,powiat nowotarski,województwo małopolskie
24880,GUBALOWKA                               ,PL,49.3,19.933333333333334,856,powiat tatrzański,województwo małopolskie
24881,WITOW                                   ,PL,49.33333333333334,19.83333333333333,844,powiat tatrzański,województwo małopolskie
24885,LAZY                                    ,PL,49.96666666666667,20.5,251,powiat bocheński,województwo małopolskie
24889,LIMANOWA                                ,PL,49.68333333333333,20.433333333333334,587,powiat limanowski,województwo małopolskie
24891,LACKO                                   ,PL,49.55944444444446,20.439444444444444,516,powiat nowosądecki,województwo małopolskie
24894,PIWNICZNA                               ,PL,49.43333333333333,20.7,684,powiat nowosądecki,województwo małopolskie
24896,KRYNICA                                 ,PL,49.41666666666666,20.966666666666665,702,powiat nowosądecki,województwo małopolskie
24897,BUKOWINA TATRZANSKA                     ,PL,49.35,20.116666666666667,848,powiat tatrzański,województwo małopolskie
24902,PIWNICZNA                               ,PL,49.42527777777778,20.72305555555556,684,powiat nowosądecki,województwo małopolskie
24903,PORONIN                                 ,PL,49.33027777777777,20.035,848,powiat tatrzański,województwo małopolskie
24904,MSZANA DOLNA                            ,PL,49.66361111111111,20.05444444444445,537,powiat limanowski,województwo małopolskie
24907,KRYNICA-GORA PARKOWA                    ,PL,49.41666666666666,20.966666666666665,702,powiat nowosądecki,województwo małopolskie
24908,MSZANA DOLNA                            ,PL,49.66666666666666,20.08333333333333,537,powiat limanowski,województwo małopolskie
24909,ZBYSZYCE                                ,PL,49.7,20.666666666666668,302,powiat nowosądecki,województwo małopolskie
24911,BOCHNIA                                 ,PL,49.98333333333333,20.4,255,powiat bocheński,województwo małopolskie
24918,DYNOW                                   ,PL,49.83333333333334,22.23333333333333,284,powiat rzeszowski,województwo podkarpackie
24921,SOLINA-JAWOR                            ,PL,49.4,22.466666666666665,441,powiat leski,województwo podkarpackie
24922,KOMANCZA                                ,PL,49.33333333333334,22.066666666666663,569,powiat sanocki,województwo podkarpackie
