EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : cloud cover in oktas
23-27 Q_CC : Quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, SANDOMIERZ (STAID: 25135).
Blended and updated with sources: 240075 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
240075,19790101,    7,    0
240075,19790102,    6,    0
240075,19790103,    5,    0
240075,19790104,    3,    0
240075,19790105,    5,    0
240075,19790106,    6,    0
240075,19790107,    3,    0
240075,19790108,    7,    0
240075,19790109,    7,    0
240075,19790110,    8,    0
240075,19790111,    6,    0
240075,19790112,    4,    0
240075,19790113,    2,    0
240075,19790114,    6,    0
240075,19790115,    8,    0
240075,19790116,    8,    0
240075,19790117,    5,    0
240075,19790118,    8,    0
240075,19790119,    8,    0
240075,19790120,    8,    0
240075,19790121,    8,    0
240075,19790122,    8,    0
240075,19790123,    7,    0
240075,19790124,    8,    0
240075,19790125,    4,    0
240075,19790126,    5,    0
240075,19790127,    4,    0
240075,19790128,    8,    0
240075,19790129,    8,    0
240075,19790130,    8,    0
240075,19790131,    5,    0
240075,19790201,    6,    0
240075,19790202,    6,    0
240075,19790203,    5,    0
240075,19790204,    2,    0
240075,19790205,    5,    0
240075,19790206,    7,    0
240075,19790207,    3,    0
240075,19790208,    5,    0
240075,19790209,    4,    0
240075,19790210,    2,    0
240075,19790211,    1,    0
240075,19790212,    8,    0
240075,19790213,    8,    0
240075,19790214,    7,    0
240075,19790215,    8,    0
240075,19790216,    6,    0
240075,19790217,    8,    0
240075,19790218,    8,    0
240075,19790219,    4,    0
240075,19790220,    3,    0
240075,19790221,    0,    0
240075,19790222,    0,    0
240075,19790223,    0,    0
240075,19790224,    0,    0
240075,19790225,    7,    0
240075,19790226,    4,    0
240075,19790227,    0,    0
240075,19790228,    3,    0
240075,19790301,    4,    0
240075,19790302,    5,    0
240075,19790303,    4,    0
240075,19790304,    6,    0
240075,19790305,    7,    0
240075,19790306,    7,    0
240075,19790307,    4,    0
240075,19790308,    7,    0
240075,19790309,    8,    0
240075,19790310,    6,    0
240075,19790311,    3,    0
240075,19790312,    5,    0
240075,19790313,    4,    0
240075,19790314,    6,    0
240075,19790315,    6,    0
240075,19790316,    7,    0
240075,19790317,    7,    0
240075,19790318,    5,    0
240075,19790319,    6,    0
240075,19790320,    5,    0
240075,19790321,    5,    0
240075,19790322,    4,    0
240075,19790323,    7,    0
240075,19790324,    2,    0
240075,19790325,    1,    0
240075,19790326,    5,    0
240075,19790327,    7,    0
240075,19790328,    7,    0
240075,19790329,    7,    0
240075,19790330,    3,    0
240075,19790331,    5,    0
240075,19790401,    7,    0
240075,19790402,    6,    0
240075,19790403,    1,    0
240075,19790404,    4,    0
240075,19790405,    5,    0
240075,19790406,    8,    0
240075,19790407,    8,    0
240075,19790408,    8,    0
240075,19790409,    7,    0
240075,19790410,    1,    0
240075,19790411,    6,    0
240075,19790412,    1,    0
240075,19790413,    0,    0
240075,19790414,    0,    0
240075,19790415,    3,    0
240075,19790416,    1,    0
240075,19790417,    5,    0
240075,19790418,    6,    0
240075,19790419,    3,    0
240075,19790420,    7,    0
240075,19790421,    6,    0
240075,19790422,    6,    0
240075,19790423,    4,    0
240075,19790424,    5,    0
240075,19790425,    7,    0
240075,19790426,    6,    0
240075,19790427,    7,    0
240075,19790428,    7,    0
240075,19790429,    8,    0
240075,19790430,    5,    0
240075,19790501,    7,    0
240075,19790502,    6,    0
240075,19790503,    7,    0
240075,19790504,    5,    0
240075,19790505,    3,    0
240075,19790506,    6,    0
240075,19790507,    5,    0
240075,19790508,    3,    0
240075,19790509,    8,    0
240075,19790510,    5,    0
240075,19790511,    1,    0
240075,19790512,    4,    0
240075,19790513,    1,    0
240075,19790514,    1,    0
240075,19790515,    0,    0
240075,19790516,    0,    0
240075,19790517,    0,    0
240075,19790518,    0,    0
240075,19790519,    1,    0
240075,19790520,    2,    0
240075,19790521,    2,    0
240075,19790522,    3,    0
240075,19790523,    3,    0
240075,19790524,    1,    0
240075,19790525,    3,    0
240075,19790526,    4,    0
240075,19790527,    2,    0
240075,19790528,    4,    0
240075,19790529,    0,    0
240075,19790530,    2,    0
240075,19790531,    1,    0
240075,19790601,    1,    0
240075,19790602,    2,    0
240075,19790603,    0,    0
240075,19790604,    0,    0
240075,19790605,    0,    0
240075,19790606,    1,    0
240075,19790607,    2,    0
240075,19790608,    4,    0
240075,19790609,    3,    0
240075,19790610,    4,    0
240075,19790611,    1,    0
240075,19790612,    4,    0
240075,19790613,    4,    0
240075,19790614,    5,    0
240075,19790615,    4,    0
240075,19790616,    4,    0
240075,19790617,    6,    0
240075,19790618,    6,    0
240075,19790619,    4,    0
240075,19790620,    3,    0
240075,19790621,    6,    0
240075,19790622,    7,    0
240075,19790623,    4,    0
240075,19790624,    0,    0
240075,19790625,    3,    0
240075,19790626,    4,    0
240075,19790627,    1,    0
240075,19790628,    4,    0
240075,19790629,    7,    0
240075,19790630,    4,    0
240075,19790701,    4,    0
240075,19790702,    4,    0
240075,19790703,    7,    0
240075,19790704,    7,    0
240075,19790705,    4,    0
240075,19790706,    6,    0
240075,19790707,    7,    0
240075,19790708,    7,    0
240075,19790709,    7,    0
240075,19790710,    7,    0
240075,19790711,    5,    0
240075,19790712,    4,    0
240075,19790713,    1,    0
240075,19790714,    2,    0
240075,19790715,    3,    0
240075,19790716,    5,    0
240075,19790717,    4,    0
240075,19790718,    5,    0
240075,19790719,    7,    0
240075,19790720,    4,    0
240075,19790721,    6,    0
240075,19790722,    3,    0
240075,19790723,    4,    0
240075,19790724,    4,    0
240075,19790725,    5,    0
240075,19790726,    3,    0
240075,19790727,    6,    0
240075,19790728,    5,    0
240075,19790729,    4,    0
240075,19790730,    6,    0
240075,19790731,    3,    0
240075,19790801,    6,    0
240075,19790802,    2,    0
240075,19790803,    4,    0
240075,19790804,    7,    0
240075,19790805,    5,    0
240075,19790806,    2,    0
240075,19790807,    0,    0
240075,19790808,    3,    0
240075,19790809,    3,    0
240075,19790810,    7,    0
240075,19790811,    7,    0
240075,19790812,    7,    0
240075,19790813,    8,    0
240075,19790814,    5,    0
240075,19790815,    0,    0
240075,19790816,    0,    0
240075,19790817,    0,    0
240075,19790818,    5,    0
240075,19790819,    7,    0
240075,19790820,    6,    0
240075,19790821,    4,    0
240075,19790822,    3,    0
240075,19790823,    2,    0
240075,19790824,    2,    0
240075,19790825,    7,    0
240075,19790826,    4,    0
240075,19790827,    4,    0
240075,19790828,    5,    0
240075,19790829,    7,    0
240075,19790830,    4,    0
240075,19790831,    3,    0
240075,19790901,    0,    0
240075,19790902,    1,    0
240075,19790903,    0,    0
240075,19790904,    5,    0
240075,19790905,    5,    0
240075,19790906,    6,    0
240075,19790907,    6,    0
240075,19790908,    7,    0
240075,19790909,    2,    0
240075,19790910,    6,    0
240075,19790911,    4,    0
240075,19790912,    4,    0
240075,19790913,    0,    0
240075,19790914,    7,    0
240075,19790915,    7,    0
240075,19790916,    3,    0
240075,19790917,    6,    0
240075,19790918,    6,    0
240075,19790919,    5,    0
240075,19790920,    0,    0
240075,19790921,    1,    0
240075,19790922,    1,    0
240075,19790923,    8,    0
240075,19790924,    8,    0
240075,19790925,    7,    0
240075,19790926,    5,    0
240075,19790927,    0,    0
240075,19790928,    4,    0
240075,19790929,    3,    0
240075,19790930,    2,    0
240075,19791001,    1,    0
240075,19791002,    3,    0
240075,19791003,    1,    0
240075,19791004,    4,    0
240075,19791005,    5,    0
240075,19791006,    0,    0
240075,19791007,    0,    0
240075,19791008,    0,    0
240075,19791009,    0,    0
240075,19791010,    0,    0
240075,19791011,    0,    0
240075,19791012,    0,    0
240075,19791013,    0,    0
240075,19791014,    1,    0
240075,19791015,    2,    0
240075,19791016,    3,    0
240075,19791017,    5,    0
240075,19791018,    7,    0
240075,19791019,    6,    0
240075,19791020,    7,    0
240075,19791021,    2,    0
240075,19791022,    6,    0
240075,19791023,    1,    0
240075,19791024,    4,    0
240075,19791025,    0,    0
240075,19791026,    0,    0
240075,19791027,    0,    0
240075,19791028,    0,    0
240075,19791029,    4,    0
240075,19791030,    8,    0
240075,19791031,    8,    0
240075,19791101,    4,    0
240075,19791102,    7,    0
240075,19791103,    3,    0
240075,19791104,    3,    0
240075,19791105,    6,    0
240075,19791106,    4,    0
240075,19791107,    5,    0
240075,19791108,    6,    0
240075,19791109,    6,    0
240075,19791110,    7,    0
240075,19791111,    8,    0
240075,19791112,    8,    0
240075,19791113,    6,    0
240075,19791114,    7,    0
240075,19791115,    6,    0
240075,19791116,    6,    0
240075,19791117,    7,    0
240075,19791118,    8,    0
240075,19791119,    7,    0
240075,19791120,    8,    0
240075,19791121,    8,    0
240075,19791122,    8,    0
240075,19791123,    8,    0
240075,19791124,    7,    0
240075,19791125,    7,    0
240075,19791126,    6,    0
240075,19791127,    6,    0
240075,19791128,    7,    0
240075,19791129,    8,    0
240075,19791130,    7,    0
240075,19791201,    8,    0
240075,19791202,    8,    0
240075,19791203,    2,    0
240075,19791204,    5,    0
240075,19791205,    4,    0
240075,19791206,    4,    0
240075,19791207,    6,    0
240075,19791208,    8,    0
