EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, POZNAN (STAID: 206).
Blended and updated with sources: 100645 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100645,19790101, -179,    0
100645,19790102,  -89,    0
100645,19790103,  -91,    0
100645,19790104, -117,    0
100645,19790105,  -84,    0
100645,19790106, -116,    0
100645,19790107, -100,    0
100645,19790108,   -6,    0
100645,19790109,   -3,    0
100645,19790110,   -9,    0
100645,19790111,  -26,    0
100645,19790112,  -13,    0
100645,19790113,  -19,    0
100645,19790114,  -46,    0
100645,19790115,  -17,    0
100645,19790116,  -11,    0
100645,19790117,  -30,    0
100645,19790118,  -41,    0
100645,19790119,  -42,    0
100645,19790120,  -57,    0
100645,19790121, -106,    0
100645,19790122,  -79,    0
100645,19790123,  -66,    0
100645,19790124,   -1,    0
100645,19790125,  -31,    0
100645,19790126,  -53,    0
100645,19790127,  -23,    0
100645,19790128,  -11,    0
100645,19790129,  -32,    0
100645,19790130,  -37,    0
100645,19790131,  -35,    0
100645,19790201,    8,    0
100645,19790202,   12,    0
100645,19790203,   -5,    0
100645,19790204,   -5,    0
100645,19790205,  -33,    0
100645,19790206,  -42,    0
100645,19790207,  -39,    0
100645,19790208,  -21,    0
100645,19790209,  -24,    0
100645,19790210,  -57,    0
100645,19790211,  -90,    0
100645,19790212,  -48,    0
100645,19790213,  -40,    0
100645,19790214,  -85,    0
100645,19790215, -102,    0
100645,19790216,  -92,    0
100645,19790217,  -92,    0
100645,19790218,  -38,    0
100645,19790219,  -20,    0
100645,19790220,  -47,    0
100645,19790221,  -59,    0
100645,19790222,  -48,    0
100645,19790223,  -53,    0
100645,19790224,  -56,    0
100645,19790225,  -29,    0
100645,19790226,  -73,    0
100645,19790227,  -34,    0
100645,19790228,   -8,    0
100645,19790301,  -12,    0
100645,19790302,   11,    0
100645,19790303,   37,    0
100645,19790304,   36,    0
100645,19790305,    3,    0
100645,19790306,  -19,    0
100645,19790307,   25,    0
100645,19790308,    3,    0
100645,19790309,   25,    0
100645,19790310,   16,    0
100645,19790311,   13,    0
100645,19790312,   26,    0
100645,19790313,   40,    0
100645,19790314,   13,    0
100645,19790315,    1,    0
100645,19790316,   33,    0
100645,19790317,    8,    0
100645,19790318,  -24,    0
100645,19790319,  -41,    0
100645,19790320,  -27,    0
100645,19790321,   23,    0
100645,19790322,   46,    0
100645,19790323,   28,    0
100645,19790324,   21,    0
100645,19790325,   39,    0
100645,19790326,   97,    0
100645,19790327,   93,    0
100645,19790328,   86,    0
100645,19790329,   89,    0
100645,19790330,   62,    0
100645,19790331,   33,    0
100645,19790401,   27,    0
100645,19790402,   59,    0
100645,19790403,   79,    0
100645,19790404,   75,    0
100645,19790405,   60,    0
100645,19790406,   52,    0
100645,19790407,   32,    0
100645,19790408,   49,    0
100645,19790409,   54,    0
100645,19790410,   68,    0
100645,19790411,   81,    0
100645,19790412,   85,    0
100645,19790413,  111,    0
100645,19790414,  114,    0
100645,19790415,   83,    0
100645,19790416,   31,    0
100645,19790417,   30,    0
100645,19790418,   25,    0
100645,19790419,   29,    0
100645,19790420,   63,    0
100645,19790421,   84,    0
100645,19790422,   94,    0
100645,19790423,   88,    0
100645,19790424,  124,    0
100645,19790425,   91,    0
100645,19790426,   85,    0
100645,19790427,   97,    0
100645,19790428,   73,    0
100645,19790429,   85,    0
100645,19790430,   70,    0
100645,19790501,   52,    0
100645,19790502,   73,    0
100645,19790503,   60,    0
100645,19790504,   67,    0
100645,19790505,   60,    0
100645,19790506,   69,    0
100645,19790507,   61,    0
100645,19790508,   92,    0
100645,19790509,  117,    0
100645,19790510,  106,    0
100645,19790511,   89,    0
100645,19790512,  121,    0
100645,19790513,  128,    0
100645,19790514,  138,    0
100645,19790515,  178,    0
100645,19790516,  202,    0
100645,19790517,  219,    0
100645,19790518,  203,    0
100645,19790519,  182,    0
100645,19790520,  173,    0
100645,19790521,  215,    0
100645,19790522,  185,    0
100645,19790523,  209,    0
100645,19790524,  235,    0
100645,19790525,  148,    0
100645,19790526,  170,    0
100645,19790527,  210,    0
100645,19790528,  153,    0
100645,19790529,  175,    0
100645,19790530,  203,    0
100645,19790531,  243,    0
100645,19790601,  261,    0
100645,19790602,  254,    0
100645,19790603,  248,    0
100645,19790604,  223,    0
100645,19790605,  221,    0
100645,19790606,  231,    0
100645,19790607,  212,    0
100645,19790608,  163,    0
100645,19790609,  145,    0
100645,19790610,  138,    0
100645,19790611,  173,    0
100645,19790612,  225,    0
100645,19790613,  190,    0
100645,19790614,  152,    0
100645,19790615,  172,    0
100645,19790616,  160,    0
100645,19790617,  175,    0
100645,19790618,  155,    0
100645,19790619,  180,    0
100645,19790620,  192,    0
100645,19790621,  198,    0
100645,19790622,  188,    0
100645,19790623,  191,    0
100645,19790624,  232,    0
100645,19790625,  208,    0
100645,19790626,  217,    0
100645,19790627,  210,    0
100645,19790628,  189,    0
100645,19790629,  191,    0
100645,19790630,  155,    0
100645,19790701,  133,    0
100645,19790702,  121,    0
100645,19790703,  143,    0
100645,19790704,  158,    0
100645,19790705,  158,    0
100645,19790706,  163,    0
100645,19790707,  157,    0
100645,19790708,  141,    0
100645,19790709,  143,    0
100645,19790710,  135,    0
100645,19790711,  129,    0
100645,19790712,  159,    0
100645,19790713,  186,    0
100645,19790714,  191,    0
100645,19790715,  164,    0
100645,19790716,  130,    0
100645,19790717,  135,    0
100645,19790718,  147,    0
100645,19790719,  167,    0
100645,19790720,  152,    0
100645,19790721,  155,    0
100645,19790722,  138,    0
100645,19790723,  135,    0
100645,19790724,  134,    0
100645,19790725,  142,    0
100645,19790726,  141,    0
100645,19790727,  150,    0
100645,19790728,  159,    0
100645,19790729,  187,    0
100645,19790730,  182,    0
100645,19790731,  196,    0
100645,19790801,  195,    0
100645,19790802,  210,    0
100645,19790803,  204,    0
100645,19790804,  179,    0
100645,19790805,  156,    0
100645,19790806,  146,    0
100645,19790807,  181,    0
100645,19790808,  212,    0
100645,19790809,  189,    0
100645,19790810,  168,    0
100645,19790811,  154,    0
100645,19790812,  155,    0
100645,19790813,  153,    0
100645,19790814,  169,    0
100645,19790815,  212,    0
100645,19790816,  235,    0
100645,19790817,  230,    0
100645,19790818,  202,    0
100645,19790819,  168,    0
100645,19790820,  172,    0
100645,19790821,  176,    0
100645,19790822,  168,    0
100645,19790823,  180,    0
100645,19790824,  165,    0
100645,19790825,  150,    0
100645,19790826,  134,    0
