EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : snow depth in 1 cm
23-27 Q_SD : Quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, GUBALOWKA (STAID: 24880).
Blended and updated with sources: 237012 240593 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
237012,19790101,    0,    0
237012,19790102,    4,    0
237012,19790103,    5,    0
237012,19790104,    5,    0
237012,19790105,    5,    0
237012,19790106,    7,    0
237012,19790107,    6,    0
237012,19790108,    6,    0
237012,19790109,    5,    0
237012,19790110,    5,    0
237012,19790111,   10,    0
237012,19790112,   13,    0
237012,19790113,   11,    0
237012,19790114,   10,    0
237012,19790115,   42,    0
237012,19790116,   62,    0
237012,19790117,   57,    0
237012,19790118,   53,    0
237012,19790119,   51,    0
237012,19790120,   49,    0
237012,19790121,   45,    0
237012,19790122,   55,    0
237012,19790123,   53,    0
237012,19790124,   50,    0
237012,19790125,   57,    0
237012,19790126,   52,    0
237012,19790127,   50,    0
237012,19790128,   35,    0
237012,19790129,   24,    0
237012,19790130,   31,    0
237012,19790131,   36,    0
237012,19790201,   38,    0
237012,19790202,   36,    0
237012,19790203,   33,    0
237012,19790204,   32,    0
237012,19790205,   30,    0
237012,19790206,   29,    0
237012,19790207,   29,    0
237012,19790208,   28,    0
237012,19790209,   28,    0
237012,19790210,   28,    0
237012,19790211,   28,    0
237012,19790212,   27,    0
237012,19790213,   25,    0
237012,19790214,   24,    0
237012,19790215,   21,    0
237012,19790216,   19,    0
237012,19790217,   17,    0
237012,19790218,   14,    0
237012,19790219,   13,    0
237012,19790220,   13,    0
237012,19790221,   12,    0
237012,19790222,   12,    0
237012,19790223,   12,    0
237012,19790224,   11,    0
237012,19790225,   12,    0
237012,19790226,   17,    0
237012,19790227,   15,    0
237012,19790228,   13,    0
237012,19790301,   12,    0
237012,19790302,   12,    0
237012,19790303,   12,    0
237012,19790304,   11,    0
237012,19790305,   10,    0
237012,19790306,   10,    0
237012,19790307,    9,    0
237012,19790308,    9,    0
237012,19790309,   18,    0
237012,19790310,   15,    0
237012,19790311,   20,    0
237012,19790312,   17,    0
237012,19790313,   14,    0
237012,19790314,   12,    0
237012,19790315,   10,    0
237012,19790316,    0,    0
237012,19790317,    0,    0
237012,19790318,    0,    0
237012,19790319,    0,    0
237012,19790320,    0,    0
237012,19790321,    0,    0
237012,19790322,    0,    0
237012,19790323,    6,    0
237012,19790324,    4,    0
237012,19790325,    0,    0
237012,19790326,    0,    0
237012,19790327,    0,    0
237012,19790328,    0,    0
237012,19790329,    0,    0
237012,19790330,    4,    0
237012,19790331,    3,    0
237012,19790401,    0,    0
237012,19790402,    0,    0
237012,19790403,    0,    0
237012,19790404,    0,    0
237012,19790405,    0,    0
237012,19790406,    0,    0
237012,19790407,    5,    0
237012,19790408,    4,    0
237012,19790409,    3,    0
237012,19790410,    2,    0
237012,19790411,    0,    0
237012,19790412,    0,    0
237012,19790413,    0,    0
237012,19790414,    0,    0
237012,19790415,    0,    0
237012,19790416,    0,    0
237012,19790417,    0,    0
237012,19790418,    3,    0
237012,19790419,    5,    0
237012,19790420,    2,    0
237012,19790421,    0,    0
237012,19790422,    0,    0
237012,19790423,    0,    0
237012,19790424,    0,    0
237012,19790425,    0,    0
237012,19790426,    0,    0
237012,19790427,    0,    0
237012,19790428,    0,    0
237012,19790429,    3,    0
237012,19790430,    0,    0
237012,19790501,    0,    0
237012,19790502,    0,    0
237012,19790503,    9,    0
237012,19790504,    9,    0
237012,19790505,    3,    0
237012,19790506,    4,    0
237012,19790507,    0,    0
237012,19790508,    0,    0
237012,19790509,    0,    0
237012,19790510,    0,    0
237012,19790511,    0,    0
237012,19790512,    0,    0
237012,19790513,    0,    0
237012,19790514,    0,    0
237012,19790515,    0,    0
237012,19790516,    0,    0
237012,19790517,    0,    0
237012,19790518,    0,    0
237012,19790519,    0,    0
237012,19790520,    0,    0
237012,19790521,    0,    0
237012,19790522,    0,    0
237012,19790523,    0,    0
237012,19790524,    0,    0
237012,19790525,    0,    0
237012,19790526,    0,    0
237012,19790527,    0,    0
237012,19790528,    0,    0
237012,19790529,    0,    0
237012,19790530,    0,    0
237012,19790531,    0,    0
237012,19790601,    0,    0
237012,19790602,    0,    0
237012,19790603,    0,    0
237012,19790604,    0,    0
237012,19790605,    0,    0
237012,19790606,    0,    0
237012,19790607,    0,    0
237012,19790608,    0,    0
237012,19790609,    0,    0
237012,19790610,    0,    0
237012,19790611,    0,    0
237012,19790612,    0,    0
237012,19790613,    0,    0
237012,19790614,    0,    0
237012,19790615,    0,    0
237012,19790616,    0,    0
237012,19790617,    0,    0
237012,19790618,    0,    0
237012,19790619,    0,    0
237012,19790620,    0,    0
237012,19790621,    0,    0
237012,19790622,    0,    0
237012,19790623,    0,    0
237012,19790624,    0,    0
237012,19790625,    0,    0
237012,19790626,    0,    0
237012,19790627,    0,    0
237012,19790628,    0,    0
237012,19790629,    0,    0
237012,19790630,    0,    0
237012,19790701,    0,    0
237012,19790702,    0,    0
237012,19790703,    0,    0
237012,19790704,    0,    0
237012,19790705,    0,    0
237012,19790706,    0,    0
237012,19790707,    0,    0
237012,19790708,    0,    0
237012,19790709,    0,    0
237012,19790710,    0,    0
237012,19790711,    0,    0
237012,19790712,    0,    0
237012,19790713,    0,    0
237012,19790714,    0,    0
237012,19790715,    0,    0
237012,19790716,    0,    0
237012,19790717,    0,    0
237012,19790718,    0,    0
237012,19790719,    0,    0
237012,19790720,    0,    0
237012,19790721,    0,    0
237012,19790722,    0,    0
237012,19790723,    0,    0
237012,19790724,    0,    0
237012,19790725,    0,    0
237012,19790726,    0,    0
