EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : snow depth in 1 cm
23-27 Q_SD : Quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, PULTUSK (STAID: 25060).
Blended and updated with sources: 239172 240611 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
239172,19790101,   25,    0
239172,19790102,   25,    0
239172,19790103,   27,    0
239172,19790104,   30,    0
239172,19790105,   31,    0
239172,19790106,   33,    0
239172,19790107,   33,    0
239172,19790108,   34,    0
239172,19790109,   30,    0
239172,19790110,   30,    0
239172,19790111,   25,    0
239172,19790112,   25,    0
239172,19790113,   20,    0
239172,19790114,   20,    0
239172,19790115,   30,    0
239172,19790116,   33,    0
239172,19790117,   35,    0
239172,19790118,   40,    0
239172,19790119,   40,    0
239172,19790120,   40,    0
239172,19790121,   40,    0
239172,19790122,   40,    0
239172,19790123,   40,    0
239172,19790124,   40,    0
239172,19790125,   35,    0
239172,19790126,   35,    0
239172,19790127,   35,    0
239172,19790128,   40,    0
239172,19790129,   40,    0
239172,19790130,   40,    0
239172,19790131,   60,    0
239172,19790201,   70,    0
239172,19790202,   70,    0
239172,19790203,   60,    0
239172,19790204,   60,    0
239172,19790205,   60,    0
239172,19790206,   55,    0
239172,19790207,   50,    0
239172,19790208,   50,    0
239172,19790209,   60,    0
239172,19790210,   55,    0
239172,19790211,   53,    0
239172,19790212,   50,    0
239172,19790213,   50,    0
239172,19790214,   50,    0
239172,19790215,   60,    0
239172,19790216,   80,    0
239172,19790217,   80,    0
239172,19790218,   80,    0
239172,19790219,   75,    0
239172,19790220,   70,    0
239172,19790221,   65,    0
239172,19790222,   60,    0
239172,19790223,   60,    0
239172,19790224,   60,    0
239172,19790225,   58,    0
239172,19790226,   55,    0
239172,19790227,   53,    0
239172,19790228,   53,    0
